reaction	has_metadata@reconstructionData
LYSINE--TRNA-LIGASE-RXN	LYSINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
2-NITROPROPANE-DIOXYGENASE-RXN	2-NITROPROPANE-DIOXYGENASE-RXN_reconstructionData_B_NAPUS_V5
2OXOGLUTDECARB-RXN	2OXOGLUTDECARB-RXN_reconstructionData_B_NAPUS_V5
RXN-15298	RXN-15298_reconstructionData_B_NAPUS_V5
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	3-DEHYDROSPHINGANINE-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
2.7.11.7-RXN	2.7.11.7-RXN_reconstructionData_B_NAPUS_V5
RXN-9229	RXN-9229_reconstructionData_B_NAPUS_V5
RXN-802	RXN-802_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
URIDINEKIN-RXN	URIDINEKIN-RXN_reconstructionData_B_NAPUS_V5
RXN-8096	RXN-8096_reconstructionData_B_NAPUS_V5
RXN-7699	RXN-7699_reconstructionData_B_NAPUS_V5
RXN-1801	RXN-1801_reconstructionData_B_NAPUS_V5
RXN-14495	RXN-14495_reconstructionData_B_NAPUS_V5
RXN1G-220	RXN1G-220_reconstructionData_B_NAPUS_V5
DIAMINOPIMELATE-DEHYDROGENASE-RXN	DIAMINOPIMELATE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5
ALDOSE-1-EPIMERASE-RXN	ALDOSE-1-EPIMERASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ALDOSE-1-EPIMERASE-RXN	ALDOSE-1-EPIMERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-7569	RXN-7569_reconstructionData_B_NAPUS_V5
RXN-9674	RXN-9674_reconstructionData_B_NAPUS_V5
RXN-17932	RXN-17932_reconstructionData_B_NAPUS_V5
RXN-12790	RXN-12790_reconstructionData_B_NAPUS_V5
RXN-37	RXN-37_reconstructionData_B_NAPUS_V5
RXN-37	RXN-37_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-17900	RXN-17900_reconstructionData_B_NAPUS_V5
RXNQT-4330	RXNQT-4330_reconstructionData_B_NAPUS_V5
PLASMALOGEN-SYNTHASE-RXN	PLASMALOGEN-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5
O-AMINOPHENOL-OXIDASE-RXN	O-AMINOPHENOL-OXIDASE-RXN_reconstructionData_B_NAPUS_V5
SPHINGOMYELIN-PHOSPHODIESTERASE-RXN	SPHINGOMYELIN-PHOSPHODIESTERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-13202	RXN-13202_reconstructionData_B_NAPUS_V5
RXN-7871	RXN-7871_reconstructionData_B_NAPUS_V5
3.4.22.45-RXN	3.4.22.45-RXN_reconstructionData_B_NAPUS_V5
RXN-6701	RXN-6701_reconstructionData_B_NAPUS_V5
GUANIDINOBUTANAMIDE-NH3-RXN	GUANIDINOBUTANAMIDE-NH3-RXN_reconstructionData_B_NAPUS_V5
RXN-14457	RXN-14457_reconstructionData_B_NAPUS_V5
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	RIBONUCLEOSIDE-DIP-REDUCTII-RXN_reconstructionData_B_NAPUS_V5
RXN-14803	RXN-14803_reconstructionData_B_NAPUS_V5
RXN-7710	RXN-7710_reconstructionData_B_NAPUS_V5
RXN-16020	RXN-16020_reconstructionData_B_NAPUS_V5
2PGADEHYDRAT-RXN	2PGADEHYDRAT-RXN_reconstructionData_B_NAPUS_V5
2PGADEHYDRAT-RXN	2PGADEHYDRAT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
METHIONINE--TRNA-LIGASE-RXN	METHIONINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
RXN0-5182	RXN0-5182_reconstructionData_B_NAPUS_V5
RXN-17884	RXN-17884_reconstructionData_B_NAPUS_V5
RXN-18234	RXN-18234_reconstructionData_B_NAPUS_V5
3.1.11.3-RXN	3.1.11.3-RXN_reconstructionData_B_NAPUS_V5
RIB5PISOM-RXN	RIB5PISOM-RXN_reconstructionData_B_NAPUS_V5
RIB5PISOM-RXN	RIB5PISOM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12091	RXN-12091_reconstructionData_B_NAPUS_V5
RXN-11592	RXN-11592_reconstructionData_B_NAPUS_V5
DTDPKIN-RXN	DTDPKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
DTDPKIN-RXN	DTDPKIN-RXN_reconstructionData_B_NAPUS_V5
TCX8	TCX8_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-16066	RXN-16066_reconstructionData_B_NAPUS_V5
DHHB-METHYLTRANSFER-RXN	DHHB-METHYLTRANSFER-RXN_reconstructionData_B_NAPUS_V5
RXN-14485	RXN-14485_reconstructionData_B_NAPUS_V5
RXN66-17	RXN66-17_reconstructionData_B_NAPUS_V5
RXN-17790	RXN-17790_reconstructionData_B_NAPUS_V5
2.7.11.30-RXN	2.7.11.30-RXN_reconstructionData_B_NAPUS_V5
3.1.11.2-RXN	3.1.11.2-RXN_reconstructionData_B_NAPUS_V5
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
2.3.1.158-RXN	2.3.1.158-RXN_reconstructionData_B_NAPUS_V5
RXN-16997	RXN-16997_reconstructionData_B_NAPUS_V5
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	SEDOHEPTULOSE-BISPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	SEDOHEPTULOSE-BISPHOSPHATASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
5.1.1.18-RXN	5.1.1.18-RXN_reconstructionData_B_NAPUS_V5
DIAMINOPIMEPIM-RXN	DIAMINOPIMEPIM-RXN_reconstructionData_B_NAPUS_V5
DIAMINOPIMEPIM-RXN	DIAMINOPIMEPIM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ANTHRANSYN-RXN	ANTHRANSYN-RXN_reconstructionData_B_NAPUS_V5
ANTHRANSYN-RXN	ANTHRANSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-17934	RXN-17934_reconstructionData_B_NAPUS_V5
RXN-18217	RXN-18217_reconstructionData_B_NAPUS_V5
2.7.11.16-RXN	2.7.11.16-RXN_reconstructionData_B_NAPUS_V5
RXN-8389	RXN-8389_reconstructionData_B_NAPUS_V5
6-PHOSPHOFRUCTO-2-KINASE-RXN	6-PHOSPHOFRUCTO-2-KINASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
6-PHOSPHOFRUCTO-2-KINASE-RXN	6-PHOSPHOFRUCTO-2-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-1824	RXN-1824_reconstructionData_B_NAPUS_V5
RXN-8668	RXN-8668_reconstructionData_B_NAPUS_V5
RXN-9910	RXN-9910_reconstructionData_B_NAPUS_V5
NITRATE-REDUCTASE-NADPH-RXN	NITRATE-REDUCTASE-NADPH-RXN_reconstructionData_B_NAPUS_V5
RXN-13414	RXN-13414_reconstructionData_B_NAPUS_V5
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-10781	RXN-10781_reconstructionData_B_NAPUS_V5
RXN-17016	RXN-17016_reconstructionData_B_NAPUS_V5
RXN-5284	RXN-5284_reconstructionData_B_NAPUS_V5
FGAMSYN-RXN	FGAMSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
FGAMSYN-RXN	FGAMSYN-RXN_reconstructionData_B_NAPUS_V5
H2PTERIDINEPYROPHOSPHOKIN-RXN	H2PTERIDINEPYROPHOSPHOKIN-RXN_reconstructionData_B_NAPUS_V5
H2PTERIDINEPYROPHOSPHOKIN-RXN	H2PTERIDINEPYROPHOSPHOKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-7984	RXN-7984_reconstructionData_B_NAPUS_V5
1.1.1.215-RXN	1.1.1.215-RXN_reconstructionData_B_NAPUS_V5
RXN-15556	RXN-15556_reconstructionData_B_NAPUS_V5
RXN-14550	RXN-14550_reconstructionData_B_NAPUS_V5
RXN-16152	RXN-16152_reconstructionData_B_NAPUS_V5
SHIKIMATE-KINASE-RXN	SHIKIMATE-KINASE-RXN_reconstructionData_B_NAPUS_V5
SHIKIMATE-KINASE-RXN	SHIKIMATE-KINASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-15881	RXN-15881_reconstructionData_B_NAPUS_V5
RXN-14394	RXN-14394_reconstructionData_B_NAPUS_V5
DNA-DIRECTED-DNA-POLYMERASE-RXN	DNA-DIRECTED-DNA-POLYMERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-10086	RXN-10086_reconstructionData_B_NAPUS_V5
RXN1G-45	RXN1G-45_reconstructionData_B_NAPUS_V5
SULFATE-ADENYLYLTRANS-RXN	SULFATE-ADENYLYLTRANS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
SULFATE-ADENYLYLTRANS-RXN	SULFATE-ADENYLYLTRANS-RXN_reconstructionData_B_NAPUS_V5
PMPOXI-RXN	PMPOXI-RXN_reconstructionData_B_NAPUS_V5
KETOISOCAPROATE-RXN	KETOISOCAPROATE-RXN_reconstructionData_B_NAPUS_V5
GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5
5.5.1.13-RXN	5.5.1.13-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
5.5.1.13-RXN	5.5.1.13-RXN_reconstructionData_B_NAPUS_V5
3.6.3.15-RXN	3.6.3.15-RXN_reconstructionData_B_NAPUS_V5
RXN-18260	RXN-18260_reconstructionData_B_NAPUS_V5
2.4.1.101-RXN	2.4.1.101-RXN_reconstructionData_B_NAPUS_V5
RXN-7580	RXN-7580_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-7580	RXN-7580_reconstructionData_B_NAPUS_V5
2.5.1.32-RXN	2.5.1.32-RXN_reconstructionData_B_NAPUS_V5
VIOMYCIN-KINASE-RXN	VIOMYCIN-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-4021	RXN-4021_reconstructionData_B_NAPUS_V5
RXN-4021	RXN-4021_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-4735	RXN-4735_reconstructionData_B_NAPUS_V5
2.7.11.25-RXN	2.7.11.25-RXN_reconstructionData_B_NAPUS_V5
R217-RXN	R217-RXN_reconstructionData_B_NAPUS_V5
RXN-16631	RXN-16631_reconstructionData_B_NAPUS_V5
RXN-12078	RXN-12078_reconstructionData_B_NAPUS_V5
ACETOOHBUTSYN-RXN	ACETOOHBUTSYN-RXN_reconstructionData_B_NAPUS_V5
RXN-12720	RXN-12720_reconstructionData_B_NAPUS_V5
RXN-12720	RXN-12720_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN0-1603	RXN0-1603_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12488	RXN-12488_reconstructionData_B_NAPUS_V5
3.4.11.18-RXN	3.4.11.18-RXN_reconstructionData_B_NAPUS_V5
3.4.21.92-RXN	3.4.21.92-RXN_reconstructionData_B_NAPUS_V5
RXN-1961	RXN-1961_reconstructionData_B_NAPUS_V5
RXN-17888	RXN-17888_reconstructionData_B_NAPUS_V5
2.7.1.145-RXN	2.7.1.145-RXN_reconstructionData_B_NAPUS_V5
RXN-13302	RXN-13302_reconstructionData_B_NAPUS_V5
RXN-15635	RXN-15635_reconstructionData_B_NAPUS_V5
RXN-15684	RXN-15684_reconstructionData_B_NAPUS_V5
RXN-5642	RXN-5642_reconstructionData_B_NAPUS_V5
RXN-16621	RXN-16621_reconstructionData_B_NAPUS_V5
RXN-1403	RXN-1403_reconstructionData_B_NAPUS_V5
RXN-8093	RXN-8093_reconstructionData_B_NAPUS_V5
CERAMIDASE-YEAST-RXN	CERAMIDASE-YEAST-RXN_reconstructionData_B_NAPUS_V5
2.7.1.150-RXN	2.7.1.150-RXN_reconstructionData_B_NAPUS_V5
RXN0-4641	RXN0-4641_reconstructionData_B_NAPUS_V5
RXN-11135	RXN-11135_reconstructionData_B_NAPUS_V5
1.2.1.13-RXN	1.2.1.13-RXN_reconstructionData_B_NAPUS_V5
RXN-17918	RXN-17918_reconstructionData_B_NAPUS_V5
RXN-10857	RXN-10857_reconstructionData_B_NAPUS_V5
RXN-17786	RXN-17786_reconstructionData_B_NAPUS_V5
RXN-17110	RXN-17110_reconstructionData_B_NAPUS_V5
3.6.3.7-RXN	3.6.3.7-RXN_reconstructionData_B_NAPUS_V5
RXN-10958	RXN-10958_reconstructionData_B_NAPUS_V5
2.6.1.50-RXN	2.6.1.50-RXN_reconstructionData_B_NAPUS_V5
RXN-13191	RXN-13191_reconstructionData_B_NAPUS_V5
RXN-17590	RXN-17590_reconstructionData_B_NAPUS_V5
RXN1K-87	RXN1K-87_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ASNSYNA-RXN	ASNSYNA-RXN_reconstructionData_B_NAPUS_V5
RXN0-6382	RXN0-6382_reconstructionData_B_NAPUS_V5
RXN0-6382	RXN0-6382_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
GLUTKIN-RXN	GLUTKIN-RXN_reconstructionData_B_NAPUS_V5
GLUTKIN-RXN	GLUTKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-17933	RXN-17933_reconstructionData_B_NAPUS_V5
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	RIBONUCLEOSIDE-DIP-REDUCTI-RXN_reconstructionData_B_NAPUS_V5
RXN-11552	RXN-11552_reconstructionData_B_NAPUS_V5
RXN-982	RXN-982_reconstructionData_B_NAPUS_V5
RXN-8357	RXN-8357_reconstructionData_B_NAPUS_V5
UGD-RXN	UGD-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
UGD-RXN	UGD-RXN_reconstructionData_B_NAPUS_V5
CTPSYN-RXN	CTPSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
CTPSYN-RXN	CTPSYN-RXN_reconstructionData_B_NAPUS_V5
RXN0-5181	RXN0-5181_reconstructionData_B_NAPUS_V5
RXN-12994	RXN-12994_reconstructionData_B_NAPUS_V5
MALEATE-HYDRATASE-RXN	MALEATE-HYDRATASE-RXN_reconstructionData_B_NAPUS_V5
3.6.3.40-RXN	3.6.3.40-RXN_reconstructionData_B_NAPUS_V5
RXN-8759	RXN-8759_reconstructionData_B_NAPUS_V5
GLUTATHIONE-REDUCT-NADPH-RXN	GLUTATHIONE-REDUCT-NADPH-RXN_reconstructionData_B_NAPUS_V5
GLUTATHIONE-REDUCT-NADPH-RXN	GLUTATHIONE-REDUCT-NADPH-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
GALACTURONOKINASE-RXN	GALACTURONOKINASE-RXN_reconstructionData_B_NAPUS_V5
3.2.1.23-RXN	3.2.1.23-RXN_reconstructionData_B_NAPUS_V5
RXN0-4181	RXN0-4181_reconstructionData_B_NAPUS_V5
RXN-13177	RXN-13177_reconstructionData_B_NAPUS_V5
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
3.2.1.24-RXN	3.2.1.24-RXN_reconstructionData_B_NAPUS_V5
RXN-16998	RXN-16998_reconstructionData_B_NAPUS_V5
RXN-14178	RXN-14178_reconstructionData_B_NAPUS_V5
RXN66-161	RXN66-161_reconstructionData_B_NAPUS_V5
ALDHDEHYDROG-RXN	ALDHDEHYDROG-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ALDHDEHYDROG-RXN	ALDHDEHYDROG-RXN_reconstructionData_B_NAPUS_V5
RXN0-2001	RXN0-2001_reconstructionData_B_NAPUS_V5
RXN-13294	RXN-13294_reconstructionData_B_NAPUS_V5
RXN-15740	RXN-15740_reconstructionData_B_NAPUS_V5
RXN-9225	RXN-9225_reconstructionData_B_NAPUS_V5
RXN0-5205	RXN0-5205_reconstructionData_B_NAPUS_V5
RXN-12590	RXN-12590_reconstructionData_B_NAPUS_V5
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXNQT-4141	RXNQT-4141_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXNQT-4141	RXNQT-4141_reconstructionData_B_NAPUS_V5
3.4.21.105-RXN	3.4.21.105-RXN_reconstructionData_B_NAPUS_V5
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN	2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
RETINOL-DEHYDROGENASE-RXN	RETINOL-DEHYDROGENASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12750	RXN-12750_reconstructionData_B_NAPUS_V5
RXN0-5141	RXN0-5141_reconstructionData_B_NAPUS_V5
2.3.1.78-RXN	2.3.1.78-RXN_reconstructionData_B_NAPUS_V5
OXALODECARB-RXN	OXALODECARB-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
OXALODECARB-RXN	OXALODECARB-RXN_reconstructionData_B_NAPUS_V5
RXN-2541	RXN-2541_reconstructionData_B_NAPUS_V5
RXN-2541	RXN-2541_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-17472	RXN-17472_reconstructionData_B_NAPUS_V5
RXN-17923	RXN-17923_reconstructionData_B_NAPUS_V5
3.2.2.21-RXN	3.2.2.21-RXN_reconstructionData_B_NAPUS_V5
DCTP-PYROPHOSPHATASE-RXN	DCTP-PYROPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
RXN-7979	RXN-7979_reconstructionData_B_NAPUS_V5
RXN-15843	RXN-15843_reconstructionData_B_NAPUS_V5
RXN-10828	RXN-10828_reconstructionData_B_NAPUS_V5
RXN-18250	RXN-18250_reconstructionData_B_NAPUS_V5
RXN-18029	RXN-18029_reconstructionData_B_NAPUS_V5
GLUTRNAREDUCT-RXN	GLUTRNAREDUCT-RXN_reconstructionData_B_NAPUS_V5
DIACYLGLYKIN-RXN	DIACYLGLYKIN-RXN_reconstructionData_B_NAPUS_V5
RXN-16261	RXN-16261_reconstructionData_B_NAPUS_V5
R15-RXN	R15-RXN_reconstructionData_B_NAPUS_V5
RXN-13822	RXN-13822_reconstructionData_B_NAPUS_V5
RXN-13193	RXN-13193_reconstructionData_B_NAPUS_V5
RXN-8770	RXN-8770_reconstructionData_B_NAPUS_V5
3.2.1.1-RXN	3.2.1.1-RXN_reconstructionData_B_NAPUS_V5
HOMOSERDEAM-RXN	HOMOSERDEAM-RXN_reconstructionData_B_NAPUS_V5
FORMALDEHYDE-TRANSKETOLASE-RXN	FORMALDEHYDE-TRANSKETOLASE-RXN_reconstructionData_B_NAPUS_V5
RXN-1882	RXN-1882_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-1882	RXN-1882_reconstructionData_B_NAPUS_V5
ENOYL-COA-HYDRAT-RXN	ENOYL-COA-HYDRAT-RXN_reconstructionData_B_NAPUS_V5
RXN-14726	RXN-14726_reconstructionData_B_NAPUS_V5
RXN1F-19	RXN1F-19_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN1F-19	RXN1F-19_reconstructionData_B_NAPUS_V5
RXN-8660	RXN-8660_reconstructionData_B_NAPUS_V5
RXN0-748	RXN0-748_reconstructionData_B_NAPUS_V5
RXN-7733	RXN-7733_reconstructionData_B_NAPUS_V5
THIOREDOXIN-REDUCT-NADPH-RXN	THIOREDOXIN-REDUCT-NADPH-RXN_reconstructionData_B_NAPUS_V5
THIOREDOXIN-REDUCT-NADPH-RXN	THIOREDOXIN-REDUCT-NADPH-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-18219	RXN-18219_reconstructionData_B_NAPUS_V5
RXN-13675	RXN-13675_reconstructionData_B_NAPUS_V5
RXN-16415	RXN-16415_reconstructionData_B_NAPUS_V5
2.4.1.123-RXN	2.4.1.123-RXN_reconstructionData_B_NAPUS_V5
RXN-6384	RXN-6384_reconstructionData_B_NAPUS_V5
AMP-DEAMINASE-RXN	AMP-DEAMINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-9310	RXN-9310_reconstructionData_B_NAPUS_V5
RXN-9781	RXN-9781_reconstructionData_B_NAPUS_V5
RXN1F-163	RXN1F-163_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-9516	RXN-9516_reconstructionData_B_NAPUS_V5
RXN-9516	RXN-9516_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
2.4.1.109-RXN	2.4.1.109-RXN_reconstructionData_B_NAPUS_V5
RXN-18178	RXN-18178_reconstructionData_B_NAPUS_V5
RXN-15205	RXN-15205_reconstructionData_B_NAPUS_V5
RXN-18261	RXN-18261_reconstructionData_B_NAPUS_V5
RXN-6142	RXN-6142_reconstructionData_B_NAPUS_V5
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	BIS5-ADENOSYL-TRIPHOSPHATASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	BIS5-ADENOSYL-TRIPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
1.1.3.37-RXN	1.1.3.37-RXN_reconstructionData_B_NAPUS_V5
CHALCONE-ISOMERASE-RXN	CHALCONE-ISOMERASE-RXN_reconstructionData_B_NAPUS_V5
2.1.2.8-RXN	2.1.2.8-RXN_reconstructionData_B_NAPUS_V5
PHOSPHOLIPASE-C-RXN	PHOSPHOLIPASE-C-RXN_reconstructionData_B_NAPUS_V5
RXN-13308	RXN-13308_reconstructionData_B_NAPUS_V5
RXN-13727	RXN-13727_reconstructionData_B_NAPUS_V5
PYRUVDEH-RXN	PYRUVDEH-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-13322	RXN-13322_reconstructionData_B_NAPUS_V5
RXN-9634	RXN-9634_reconstructionData_B_NAPUS_V5
FUCOKINASE-RXN	FUCOKINASE-RXN_reconstructionData_B_NAPUS_V5
2.6.1.58-RXN	2.6.1.58-RXN_reconstructionData_B_NAPUS_V5
RXN-1823	RXN-1823_reconstructionData_B_NAPUS_V5
6.2.1.34-RXN	6.2.1.34-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
1.1.1.288-RXN	1.1.1.288-RXN_reconstructionData_B_NAPUS_V5
1.1.1.8-RXN	1.1.1.8-RXN_reconstructionData_B_NAPUS_V5
RXN-4307	RXN-4307_reconstructionData_B_NAPUS_V5
MALSYN-RXN	MALSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
MALSYN-RXN	MALSYN-RXN_reconstructionData_B_NAPUS_V5
ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
PHOSPHOLIPASE-A1-RXN	PHOSPHOLIPASE-A1-RXN_reconstructionData_B_NAPUS_V5
RXN-12440	RXN-12440_reconstructionData_B_NAPUS_V5
3.2.1.80-RXN	3.2.1.80-RXN_reconstructionData_B_NAPUS_V5
NAD-SYNTH-GLN-RXN	NAD-SYNTH-GLN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
NAD-SYNTH-GLN-RXN	NAD-SYNTH-GLN-RXN_reconstructionData_B_NAPUS_V5
RXN0-6529	RXN0-6529_reconstructionData_B_NAPUS_V5
RXN-1781	RXN-1781_reconstructionData_B_NAPUS_V5
RXN-16042	RXN-16042_reconstructionData_B_NAPUS_V5
4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-18204	RXN-18204_reconstructionData_B_NAPUS_V5
1.2.1.2-RXN	1.2.1.2-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
1.2.1.2-RXN	1.2.1.2-RXN_reconstructionData_B_NAPUS_V5
RXN-4305	RXN-4305_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-4305	RXN-4305_reconstructionData_B_NAPUS_V5
DEOXYADENOSINE-KINASE-RXN	DEOXYADENOSINE-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-16165	RXN-16165_reconstructionData_B_NAPUS_V5
AMIDASE-RXN	AMIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN-14384	RXN-14384_reconstructionData_B_NAPUS_V5
RXN-8025	RXN-8025_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-11062	RXN-11062_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-11062	RXN-11062_reconstructionData_B_NAPUS_V5
BIOTIN-CARBOXYL-RXN	BIOTIN-CARBOXYL-RXN_reconstructionData_B_NAPUS_V5
RXN-11479	RXN-11479_reconstructionData_B_NAPUS_V5
RXN-16910	RXN-16910_reconstructionData_B_NAPUS_V5
GLYOHMETRANS-RXN	GLYOHMETRANS-RXN_reconstructionData_B_NAPUS_V5
RXN-9758	RXN-9758_reconstructionData_B_NAPUS_V5
2.7.10.1-RXN	2.7.10.1-RXN_reconstructionData_B_NAPUS_V5
RXN1G-1439	RXN1G-1439_reconstructionData_B_NAPUS_V5
RXN-10919	RXN-10919_reconstructionData_B_NAPUS_V5
RXN-10919	RXN-10919_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ADPREDUCT-RXN	ADPREDUCT-RXN_reconstructionData_B_NAPUS_V5
ADPREDUCT-RXN	ADPREDUCT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
GLUCOSAMINEPNACETYLTRANS-RXN	GLUCOSAMINEPNACETYLTRANS-RXN_reconstructionData_B_NAPUS_V5
GLUCOSAMINEPNACETYLTRANS-RXN	GLUCOSAMINEPNACETYLTRANS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	TOCOPHEROL-O-METHYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-13729	RXN-13729_reconstructionData_B_NAPUS_V5
RXN-13712	RXN-13712_reconstructionData_B_NAPUS_V5
RXN-15149	RXN-15149_reconstructionData_B_NAPUS_V5
