reaction	in@metabolic_network	DIRECTION	EC-NUMBER	COMMON-NAME
2-KETO-ADIPATE-DEHYDROG-RXN	brassica_napus	LEFT-TO-RIGHT		
RXN-17351	brassica_napus	LEFT-TO-RIGHT	EC-1.10.3.2	hydroquinone:oxygen oxidoreductase
ACETATE--COA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.1	acetate-CoA ligase
RXN-17781	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
RXN-14102	brassica_napus	REVERSIBLE	EC-1.1.1.21	alditol:NADP+ 1-oxidoreductase
RXN-11832	brassica_napus	LEFT-TO-RIGHT	EC-2.7.4.14	cytidylate kinase
RXN-11832			EC-2.7.4.25	CMP kinase
RXN-11326	brassica_napus	LEFT-TO-RIGHT	EC-2.4.99.15	(KDO)3-lipid IVA (2->4) 3-deoxy-D-manno-octulosonic acid transferase
RXN-11326				Kdo transferase
RXN-12384	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.2	&beta;-amylase
RXN-12384				beta-amylase
RXN-8999	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.31	
RXN-13956	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.267	
RXN-6601	brassica_napus	LEFT-TO-RIGHT	EC-2.3.2.2	gamma-glutamyltransferase
LEUKOTRIENE-A4-HYDROLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.3.2.6	leukotriene-A4 hydrolase
RXN-8228	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.298	delphinidin 3-O-glucoside 5-O-glucosyltransferase
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.12	S-formylglutathione hydrolase
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.45	serine:glyoxylate aminotransferase
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.8.1	ethanolaminephosphotransferase
RXN-12381	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.215	tRNA (N2-methylguanine27-N2-methyltransferase
3.2.1.96-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.96	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
RXN-9662	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	trans tetradec-2-enoyl-[acp] reductase
RXN-9662				enoyl-[acyl-carrier-protein] reductase (NADH)
3.1.21.4-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.21.4	
ADENYLYLSULFATE-REDUCTASE-RXN	brassica_napus	REVERSIBLE	EC-1.8.99.2	adenylyl-sulfate reductase
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.37	DNA (cytosine-5-)-methyltransferase
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN				DNA-cytosine methyltransferase
2.7.9.5-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.9.5	phosphoglucan, water dikinase
ENDOGLYCOSYLCERAMIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.123	endoglycoceramidase
FOLYLPOLYGLUTAMATESYNTH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.2.17	tetrahydrofolylpolyglutamate synthase
RXN-14473	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.31	nucleotidase
RXN-17787	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
RXN-8963	brassica_napus	REVERSIBLE	EC-1.2.1.75	malonyl-coenzyme A reductase
RXN-12616	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.42	luteolin O-methyltransferase
RXN-11627	brassica_napus	REVERSIBLE	EC-2.4.1.212	
RXN-7663	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.62	chlorophyll synthetase
RXN0-6952	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.32	phosphatidylcholine 1-acylhydrolase
RXN66-13	brassica_napus	LEFT-TO-RIGHT		4,4-dimethyl-14&alpha;-formyl-5&alpha;-cholesta-8-en-3&beta;-ol deformylase
RXN66-13				sterol 14-demethylase
RXN-4510	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.36	trihydroxypterocarpan dimethylallyltransferase
TROPINE-DEHYDROGENASE-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.206	tropine dehydrogenase
ENTF-RXN	brassica_napus	REVERSIBLE		L-seryl-adenylate synthase
LYSYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.2.3	phosphatidylglycerol lysyltransferase
2.4.1.212-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.212	
RXN-11361	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.80	molybdopterin-synthase adenylyltransferase
RXN-17017	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.15	glycerol-3-phosphate O-acyltransferase
RXN-17017				acyl-acp:sn-glycerol-3-phosphate 1-O-acyltransferase (glycerol-3-phosphate acyltransferase)
GLUTAMINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.18	glutamine-tRNA ligase
RXN-14823	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.44	
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.16	peptide-aspartate beta-dioxygenase
GLUTAMINESYN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.1.2	glutamate-ammonia ligase
GLUTAMINESYN-RXN				type I glutamate--ammonia ligase
1.2.1.9-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.9	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating)
AICARSYN-RXN	brassica_napus	REVERSIBLE	EC-4.3.2.2	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)
AICARSYN-RXN				5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase
RXN-11482	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	enoyl-[acyl-carrier-protein] reductase (NADH)
RXN-5821	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.4	
3.4.21.102-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.21.102	tail-specific protease
RXN-18092	brassica_napus	LEFT-TO-RIGHT	EC-2.3.2.2	gamma-glutamyltransferase
RXN-15300	brassica_napus	LEFT-TO-RIGHT	EC-1.1.3.46	
4-NITROPHENYLPHOSPHATASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.41	nitrophenyl phosphatase
4-NITROPHENYLPHOSPHATASE-RXN				phosphatase
RXN-12459	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.221	tRNA (guanine9-N1)-methyltransferase
GLYOXIII-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.130	glyoxalase III
RXN-12393	brassica_napus	LEFT-TO-RIGHT	EC-1.13.11.70	all-trans-&beta;-apo-10'-carotenal 13,14-cleaving dioxygenase
RXN-12393				all-trans-beta-apo-10'-carotenal cleavage oxygenase
TRANS-RXN0-162	brassica_napus	LEFT-TO-RIGHT	EC-3.6.3.41	ABC complex for formation and release of holoCcmE
TRANS-RXN0-162				heme-transporting ATPase
RXN-7648	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.9	naringenin 3-dioxygenase
ARGININE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.19	arginine-tRNA ligase
RXN-10707	brassica_napus	LEFT-TO-RIGHT	EC-1.3.3.6	acyl-CoA oxidase
2.7.1.154-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.154	phosphatidylinositol-4-phosphate 3-kinase
EXOPOLYPHOSPHATASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.1.11	exopolyphosphatase
RXN-10698	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
2.1.1.77-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.77	protein-L-isoaspartate (D-aspartate) O-methyltransferase
RXN-17928	brassica_napus	LEFT-TO-RIGHT		RNA-3'-phosphate cyclase
RXN0-5114	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.3	phosphoserine phosphatase
1.8.4.9-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.8.4.9	adenylyl-sulfate reductase (glutathione)
CPM-KDOSYNTH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase
RXN-14918	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.95	tocopherol O-methyltransferase
RXN-12693	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.145	3-beta-hydroxy-delta5-steroid dehydrogenase
UDP-ARABINOSE-4-EPIMERASE-RXN	brassica_napus	REVERSIBLE	EC-5.1.3.5	UDP-arabinose 4-epimerase
RXN-12659	brassica_napus	REVERSIBLE	EC-1.11.2.3	plant seed peroxidase
RXN-12659				linoleate 9,10-epoxidase
PRIBFAICARPISOM-RXN	brassica_napus	LEFT-TO-RIGHT	EC-5.3.1.16	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
ACETYL-COA-ACETYLTRANSFER-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.9	acetyl-CoA C-acetyltransferase
CHOLINESTERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.8	cholinesterase
2.3.1.75-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.75	long-chain-alcohol O-fatty-acyltransferase
4.2.3.11-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.3.11	
RXN0-947	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.181	lipoyl(octanoyl) transferase
RXN-8635	brassica_napus	LEFT-TO-RIGHT	EC-1.11.1.7	peroxidase
RXN-9287	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.114	heptaprenyldihydroxybenzoate methyltransferase
RXN-9287				hexaprenyldihydroxybenzoate methyltransferase
RXN-9287				3-heptaprenyl-4,5-dihydroxybenzoate methyltransferase
RXN-15680	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.18	3-benzyl-3,6-dihydroxy-6-(hydroxymethyl)-diketopiperazine glutathione S-transferase
RXN-15680				glutathione S-transferase
RXN-15680				glutathione transferase
RXN-17352	brassica_napus	LEFT-TO-RIGHT	EC-1.11.1.7	peroxidase
2.7.11.19-RXN	brassica_napus	REVERSIBLE	EC-2.7.11.19	phosphorylase kinase
2.4.1.213-RXN	brassica_napus	REVERSIBLE	EC-2.4.1.213	
1.14.11.9-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.9	naringenin 3-dioxygenase
2.7.7.14-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.14	ethanolamine-phosphate cytidylyltransferase
RXN-14727	brassica_napus	REVERSIBLE	EC-3.5.1.4	amidase
RXN-14727				propionamide amidase
GTP-CYCLOHYDRO-I-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.4.16	GTP cyclohydrolase
DCMP-DEAMINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.4.12	
PANTOTHENATE-KIN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.33	pantothenate kinase
PANTOTHENATE-KIN-RXN				type III pantothenate kinase
RXN-13471	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.126	hydroxycinnamte-4-&beta;-glucosyltransferase
RXN-13471				esculetin 4-O-beta-glucosyltransferase
1.2.1.45-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.312	2-hydroxy-4-carboxymuconate-6-semialdehyde dehydrogenase
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.28	aromatic-L-amino-acid decarboxylase
UDP-GLUCURONATE-4-EPIMERASE-RXN	brassica_napus	REVERSIBLE	EC-5.1.3.6	UDP-glucuronate 4-epimerase
URIDINE-NUCLEOSIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.2.3	uridine nucleosidase
RXN1G-368	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.41	3-oxoacyl-[acyl-carrier-protein] synthase
RXN1G-368				3-oxo-arachidoyl-[acp] synthase
RNA-LIGASE-ATP-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.5.1.3	RNA ligase (ATP)
3.2.2.22-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.2.22	rRNA N-glycosylase
1.5.1.7-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.5.1.7	saccharopine dehydrogenase (NAD+, L-lysine-forming)
3.4.11.6-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.6	
3.2.1.73-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.73	(1&rarr;3)-(1&rarr;4)-&beta;-D-glucan 4-glucanohydrolase
RXN-13198	brassica_napus	REVERSIBLE	EC-1.1.1.1	alcohol dehydrogenase (NAD)
RXN-8415	brassica_napus	LEFT-TO-RIGHT	EC-4.2.3.104	alpha-humulene synthase
2.1.1.140-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.140	(S)-coclaurine-N-methyltransferase
R145-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.109	methylthioribulose 1-phosphate dehydratase
3.1.4.37-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.4.37	2',3'-cyclic-nucleotide 3'-phosphodiesterase
AGMATINE-DEIMINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.3.12	agmatine deiminase
1.18.1.2-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.18.1.2	ferredoxin-NADP+ reductase
RXN-16553	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.84	
THIAZOLSYN2-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.8.1.10	1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase
RXN66-21	brassica_napus	LEFT-TO-RIGHT		4&alpha;-hydroxymethyl-5&alpha;-cholesta-8-en-3&beta;-ol 4-dehydrogenase
RXN66-21				C-4 methylsterol oxidase
ETHANOLAMINE-KINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.82	ethanolamine kinase
RXN-1126	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.12	4-coumarate-CoA ligase
RXN-8151	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.31	oripavine 6-O-demethylase
FPPSYN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.10	geranyltranstransferase
RXN1G-1437	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.12	trehalose-phosphatase
RXN1G-1437				6-O-trans-methoxy-mycolyl-trehalose-6-phosphate phosphohydrolase
RXN-12477	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.225	cytidine4 in tRNAPro 2'-O-methyltransferase
THREONINE-ALDOLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.2.48	threonine aldolase
THREONINE-ALDOLASE-RXN			EC-4.1.2.5	
RXN-9653	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	3-oxoacyl-[acyl-carrier-protein] synthase
RXN-9653			EC-2.3.1.85	3-oxo-meristoyl-[acyl-carrier protein] synthase
RXN-9653			EC-2.3.1.41	fatty-acyl-CoA synthase
RXN-9653				fatty acid synthase
RXN-12379	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.215	tRNA (N2-methylguanine26-N2-methyltransferase
RXN-8580	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.90	aryl-alcohol dehydrogenase (NAD+)
DIHYDROXYISOVALDEHYDRAT-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.9	dihydroxy-acid dehydratase
RXN-11358	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.275	gibberellin A9 carboxyl methyltransferase
RXN-11578	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.170	16S rRNA m7G527 methyltransferase
RXN-17475	brassica_napus	REVERSIBLE	EC-4.2.1.17	enoyl-CoA hydratase
RXN-8638	brassica_napus	LEFT-TO-RIGHT	EC-3.6.3.32	transport of a quarternary amine
RXN-18238	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.69	
ENOYL-ACP-REDUCT-NADH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	2,3,4-saturated-fatty-acid-[acp] reductase
ENOYL-ACP-REDUCT-NADH-RXN				enoyl-[acyl-carrier-protein] reductase (NADH)
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.42	L-valine transaminase
BRANCHED-CHAINAMINOTRANSFERVAL-RXN				branched-chain-amino-acid transaminase
BRANCHED-CHAINAMINOTRANSFERVAL-RXN				L-leucine transaminase
RXN-11080	brassica_napus	LEFT-TO-RIGHT	EC-1.1.98.3	decaprenylphospho-&beta;-D-ribofuranose 2-dehydrogenase
RXN1F-72	brassica_napus	REVERSIBLE	EC-1.3.1.75	3,8-divinyl protochlorophyllide a 8-vinyl reductase
5.3.4.1-RXN	brassica_napus	REVERSIBLE	EC-5.3.4.1	protein disulfide isomerase
RR-BUTANEDIOL-DEHYDROGENASE-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.4	
RXN-15067	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.4	phospholipase A2
RXN-13707	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.70	24,25-dihydrolanosterol 14-demethylase
RXN-13707				sterol 14-demethylase
RXN-16121	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.4	phosphatidate phosphatase
HOMOCYSMET-RXN	brassica_napus	REVERSIBLE	EC-2.1.1.14	cobalamin-independent homocysteine transmethylase
HOMOCYSMET-RXN				5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
RXN-7609	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.5	guanosine-5'-phosphate phosphohydrolase
RXN-7609				5'-nucleotidase
RXN-10821	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.192	
RXN6666-2	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.99	anandamide amidohydrolase
R342-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.6.1.2	cobaltochelatase
RXN66-351	brassica_napus	REVERSIBLE	EC-5.3.3.1	17-hydroxyprogesterone isomerase
RXN-17776	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.17	enoyl-CoA hydratase
RXN-7241	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.26	myo-inositol-hexakisphosphate 4-phosphohydrolase
MALATE-DEH-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.37	L-malate dehydrogenase
MALATE-DEH-RXN				malate dehydrogenation
RXN-14140	brassica_napus	LEFT-TO-RIGHT	EC-3.6.1.9	NADH pyrophosphatase
RXN1F-775	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.115	anthocyanidin 3-O-glucosyltransferase
RXN-5464	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.131	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase
RXN-14047	brassica_napus	REVERSIBLE	EC-4.2.1.3	aconitate hydratase
GLYCPDIESTER-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.4.46	glycerophosphoryl diester phosphodiesterase, periplasmic
GLYCPDIESTER-RXN				glycerophosphodiester phosphodiesterase
RXNQT-4366	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.1	carboxylic ester hydrolase
3.6.3.36-RXN	brassica_napus	REVERSIBLE	EC-3.6.3.36	taurine-transporting ATPase
RXN-9532	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	3-oxo-dodecanoyl-[acyl-carrier protein] reductase
RXN-9532			EC-2.3.1.85	(R)-3-hydroxydodecanoyl-[acp] reductase
RXN-9532			EC-1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-9532				fatty-acyl-CoA synthase
RXN-9532				3-oxo-pimeloyl-[acp] methyl ester reductase
RXN-9532				fatty acid synthase
RXN-11476	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxo-glutaryl-[acp] methyl ester reductase
RXN-11476				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-11476				3-oxo-pimeloyl-[acp] methyl ester reductase
3-ISOPROPYLMALISOM-RXN	brassica_napus	REVERSIBLE		3-isopropylmalate dehydratase
3-ISOPROPYLMALISOM-RXN				(2R,3S)-3-isopropylmalate hydro-lyase
3-ISOPROPYLMALISOM-RXN				&beta;-isopropylmalate dehydratase
3-ISOPROPYLMALISOM-RXN				&alpha;-isopropylmalate isomerase
3-ISOPROPYLMALISOM-RXN				3-isopropylmalate hydro-lyase
RXN-10657	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	enoyl-[acyl-carrier-protein] reductase (NADH)
RXN-1064	brassica_napus	LEFT-TO-RIGHT	EC-1.11.2.3	plant seed peroxidase
RXN-1064				18-hydroxyoleate peroxygenase
RXN-12727	brassica_napus	REVERSIBLE	EC-5.4.99.45	
ATPASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.4.6	ATPase
ATPASE-RXN			EC-3.6.1.3	
ATPASE-RXN			EC-3.6.1.15	
RXN-13612	brassica_napus	LEFT-TO-RIGHT	EC-4.4.1.26	olivetolic acid cyclase
RXN-12346	brassica_napus	LEFT-TO-RIGHT	EC-3.2.2.30	6-amino-6-deoxyfutalosine nucleosidase
RXN-17650	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.42	(25R)-3-oxocholest-4-en-26-oate--CoA ligase
RXN-15289	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.31	luteolin triglucoronide &beta;-glucuronidase
RXN-15289				beta-glucuronidase
RXN-15035	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.5	lysophospholipase
CARBOXYLESTERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.1	carboxylic ester hydrolase
CARBOXYLESTERASE-RXN				carboxylesterase
RXN-15130	brassica_napus	LEFT-TO-RIGHT	EC-4.4.1.1	cystathionine gamma-lyase
RXN-15130				L-cysteine desulfhydrase
RXN66-321	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.72	delta24-sterol reductase
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.35	glutamate N-acetyltransferase
RXN-8988	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.4	succinate-CoA ligase (GDP-forming)
RXN-8988				itaconyl-CoA synthetase
RXN-7163	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.158	inositol-1,3,4,5,6-pentakisphosphate 2-kinase
3.1.3.77-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.77	acireductone synthase
RXN66-162	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.17	glucuronosyltransferase
RXN-2425	brassica_napus	REVERSIBLE	EC-4.2.1.17	enoyl-CoA hydratase
GLYOXI-RXN	brassica_napus	REVERSIBLE	EC-4.4.1.5	lactoylglutathione lyase
RXN-15980	brassica_napus	LEFT-TO-RIGHT		&beta;-citraurin 7,8-dioxygenase
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.286	isocitrate dehydrogenase (NAD+)
ISOCITRATE-DEHYDROGENASE-NAD+-RXN			EC-1.1.1.41	
RXN-8619	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13	(3E)-4,8-dimethyl-1,3,7-nonatriene synthase
RXN66-318	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.170	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating)
RXN66-318				4&alpha;-carboxy-5&alpha;-cholesta-8,24-dien-3&beta;-ol:NAD(P)+ 3-dehydrogenase (decarboxylating)
UTPHEXPURIDYLYLTRANS-RXN	brassica_napus	REVERSIBLE	EC-2.7.7.64	UTP:galactose-1-phosphate uridylyltransferase
UTPHEXPURIDYLYLTRANS-RXN			EC-2.7.7.10	
RXN-12203	brassica_napus	LEFT-TO-RIGHT	EC-2.7.9.4	alpha-glucan, water dikinase
RXN-11658	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1	salicylic acid glucosyltransferase (glucoside-forming)
RXN0-5514	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
RXN-1125	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.195	cinnamyl-alcohol dehydrogenase
RXN-1125				sinapyl alcohol dehydrogenase
CHOLATE--COA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.7	very long-chain acyl-CoA synthetase
LYSINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.6	lysine-tRNA ligase
2-NITROPROPANE-DIOXYGENASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.13.12.16	nitronate monooxygenase
2OXOGLUTDECARB-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.2.4.2	oxoglutarate dehydrogenase (succinyl-transferring)
2OXOGLUTDECARB-RXN				2-oxoglutarate decarboxylase
2OXOGLUTDECARB-RXN				Oxoglutarate decarboxylase
2OXOGLUTDECARB-RXN				2-oxoglutarate decarboxylation
RXN-15298	brassica_napus	LEFT-TO-RIGHT	EC-4.1.2.57	6-deoxy-6-sulfofructose-1-phosphate aldolase
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.102	3-dehydrosphinganine reductase
2.7.11.7-RXN	brassica_napus	REVERSIBLE	EC-2.7.11.7	myosin heavy chain kinase
RXN-9229	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.64	3-demethylubiquinone-7 3-O-methyltransferase
RXN-9229				3-demethylubiquinone-9 3-O-methyltransferase
RXN-9229				5-demethylubiquinone-7 methyltransferase
RXN-802	brassica_napus	REVERSIBLE	EC-4.1.1.102	
URIDINEKIN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.48	uridine kinase
RXN-8096	brassica_napus	REVERSIBLE	EC-2.1.1.246	MtaC protein: coenzyme M methyltransferase
RXN-7699	brassica_napus	REVERSIBLE	EC-4.2.1.119	D-specific enoyl-CoA hydratase
RXN-1801	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.100	1,2-&beta;-fructan 1F-fructosyltransferase
RXN-14495	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.93	trans-lesqueroloyl-CoA reductase
RXN1G-220	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.59	cis,cis-delta17,35-3-hydroxyC54:2-[acyl-carrier protein] dehydratase
RXN1G-220				3-hydroxyacyl-[acyl-carrier-protein] dehydratase
RXN1G-220				3-cis,cis-delta17,35-3-hydroxyC54:2-[acyl-carrier protein] dehydratase
DIAMINOPIMELATE-DEHYDROGENASE-RXN	brassica_napus	REVERSIBLE	EC-1.4.1.16	meso-diaminopimelate D-dehydrogenase
ALDOSE-1-EPIMERASE-RXN	brassica_napus	REVERSIBLE	EC-5.1.3.3	aldose 1-epimerase
