pathway	COMMON-NAME	TAXONOMIC-RANGE
ARGSYNBSUB-PWY		TAX-2
ARGSYNBSUB-PWY		TAX-2157
PWY-3097	superpathway of isoflavonoids (via naringenin)	TAX-3803
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	TAX-2
PWY-66	GDP-L-fucose biosynthesis I (de novo synthesis)	TAX-2759
PWY-6569	chondroitin sulfate biosynthesis	TAX-33208
REDCITCYC	TCA cycle VIII (helicobacter)	TAX-2
REDCITCYC	Krebs cycle	
REDCITCYC	tricarboxylic acid cycle	
REDCITCYC	TCA cycle	
REDCITCYC	citric acid cycle	
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)	TAX-2759
PWY-5872	Q10 biosynthesis	
PWY-5872	ubiquinone-10 biosynthesis (eukaryotic)	
PWY-7397	naringenin biosynthesis (engineered)	TAX-4751
PWY-7397		TAX-33090
PWY-5294	superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans)	TAX-1224
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	TAX-2
ASPASN-PWY	Interconversion of L-aspartate and L-asparagine	
RIBOKIN-PWY	ribose degradation	TAX-2
RIBOKIN-PWY	ribose catabolism	TAX-2157
PWY-6265	zerumbone biosynthesis	TAX-4642
PWY-6564	heparan sulfate biosynthesis	TAX-33208
SULFUROX-PWY	sulfur oxidation I (aerobic)	TAX-2
PWY-5315	N-methyl-&Delta;1-pyrrolinium cation biosynthesis	TAX-4070
PWY-5315	nicotine and tropane alkaloids precursor biosynthesis	
PWY0-1300	2-O-&alpha;-mannosyl-D-glycerate degradation	TAX-2
PWY-7039	phosphatidate metabolism, as a signaling molecule	TAX-33090
PWY-7039	PA metabolism	
PWY-6071	superpathway of phenylethylamine degradation	TAX-2
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	TAX-1762
PWY-6397	arabinogalactan biosynthesis	
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)	TAX-58023
PWY-5035		TAX-3195
PWY-5939	(R)-acetoin biosynthesis II	TAX-2
PWY-5939	D-acetoin biosynthesis II	
SAM-PWY	S-adenosyl-L-methionine biosynthesis	TAX-33090
SAM-PWY	S-adenosylmethionine biosynthesis	TAX-4751
SAM-PWY		TAX-2157
SAM-PWY		TAX-2
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)	TAX-58023
PWY0-1433	tetrahydromonapterin biosynthesis	TAX-2
PWY-6544	superpathway of C28 brassinosteroid biosynthesis	TAX-33090
ALADEG-PWY	L-alanine degradation I	TAX-2
PWY-5142	acyl-ACP thioesterase pathway	TAX-2759
PWY-5142		TAX-2
PWY-5142		TAX-2157
PWY-6519	8-amino-7-oxononanoate biosynthesis I	TAX-2
PWY-6519	7-keto-8-aminopelargonate biosynthesis I	
PWY-7575	superpathway of candicidin biosynthesis	TAX-2
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	TAX-2
PWY-5651		TAX-4751
PWY-5651		TAX-33208
PWY-6325	echinatin biosynthesis	TAX-3803
PWY-6598	sciadonate biosynthesis	TAX-131567
PWY-6598	5,11,14-eicosatrienoic acid biosynthesis	
PWY-6598	5,11,14-eicosatrienoate biosynthesis	
PWY-6598	sciadonic acid biosynthesis	
PWY-5071	superpathway of rosmarinic acid biosynthesis	TAX-58023
PWY-6608	guanosine nucleotides degradation III	TAX-2
PWY-6608		TAX-33208
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)	TAX-2
PWY-5940	streptomycin biosynthesis	TAX-201174
PWY-5946	&delta;-carotene biosynthesis	TAX-4751
PWY-5946		TAX-2763
PWY-5946		TAX-3041
PWY-5946		TAX-1117
PWY-5946		TAX-33090
PWY-2083	isoflavonoid biosynthesis II	TAX-91827
PWY-7798	protein S-nitrosylation and denitrosylation	TAX-2759
PWY-7798		TAX-2
PWY-7798		TAX-2157
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	TAX-3398
GLYSYN-THR-PWY	glycine biosynthesis IV	TAX-4751
PWY-5537	pyruvate fermentation to acetate V	TAX-33682
PWY-5537	acetate fermentation	TAX-33154
PWY-5537	acetate:succinate CoA transferase/SCoAS cycle	
PWY-5537	ASCT cycle	
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	TAX-1762
PWY0-42	2-methylcitrate cycle I	TAX-4751
PWY0-42		TAX-2
PWY-5108	L-isoleucine biosynthesis V	TAX-224756
PWY-5108		TAX-2
PWY-5108		TAX-183925
PWY-5392	reductive TCA cycle II	TAX-200783
PWY-5392	reductive tricarboxylic acid cycle	
PWY-5392	reductive tricarboxylic acid pathway	
PWY-5392	reductive citric acid cycle	
PWY-5392	reverse citric acid cycle	
PWY-5392	carbon fixation	
PWY-5392	CO2 fixation	
PWY-5392	reductive carboxylic acid cycle	
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	TAX-4751
4AMINOBUTMETAB-PWY	&gamma;-amino-butyrate shunt	TAX-2
4AMINOBUTMETAB-PWY	GABA degradation	
PWY-6935	seleno-amino acid detoxification and volatilization II	TAX-33090
PWY-6935	Se volatilization II	
PWY-6935	Se-compound volatilization II	
PWY-6935	selenium compound volatilization II	
PWY-6935	Se-amino acid detoxification and volatilization II	
PWY-6935	dimethyl selenide biosynthesis II	
PWY-6935	seleno-amino acid detoxification and volatilization via DMSeP	
P221-PWY	octane oxidation	TAX-4751
P221-PWY		TAX-2
SULFMETII-PWY	sulfate reduction II (assimilatory)	TAX-2
SULFMETII-PWY	sulfur metabolism	TAX-33090
SULFMETII-PWY	sulfur assimilation	
PWY-2781	cis-zeatin biosynthesis	TAX-3193
PWY-2781	cis-cytokinins biosynthesis	
PWY-2781	tRNA-dependent cytokinin biosynthesis	
PWY-5885	wax esters biosynthesis II	TAX-2
PWY-5885	WS/DGAT biosynthesis	TAX-33090
PWY-5885	petunia wax biosynthesis	TAX-4751
DETOX1-PWY	superoxide radicals degradation	TAX-2759
DETOX1-PWY	removal of superoxide radicals	TAX-2
PWY-6531	mannitol cycle	TAX-2870
PWY-6531		TAX-5794
CENTFERM-PWY	pyruvate fermentation to butanoate	TAX-1224
CENTFERM-PWY	central fermentation pathway	TAX-1239
CENTFERM-PWY	acetobutylicum fermentation	
CENTFERM-PWY	pyruvate fermentation to butyrate	
PWY0-862	(5Z)-dodec-5-enoate biosynthesis	TAX-2
PWY0-862	(5Z)-dodecenoate biosynthesis	
PWY0-862	cis-dodecenoate biosynthesis	
PWY490-3	nitrate reduction VI (assimilatory)	TAX-1117
PWY490-3	nitrate assimilation	
PWY-5	canavanine biosynthesis	TAX-3803
PWY-6993	nicotine degradation II (pyrrolidine pathway)	TAX-2
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	TAX-33090
PWY-4661	lipid-independent phytic acid biosynthesis	
PWY-4661	lipid-independent InsP6 biosynthesis	
PWY-4661	lipid-independent phytate biosynthesis	
PWY-4661	hexakisphosphate biosynthesis (lipid-independent)	
PWY-4661	phytate biosynthesis	
PWY-5052	superpathway of gibberellin biosynthesis	TAX-396
PWY-5052		TAX-55087
PWY-5052		TAX-192
PWY-5052		TAX-193
PWY-5052		TAX-434
PWY-5052		TAX-49222
PWY-5052		TAX-55067
PWY-5052		TAX-5127
PWY-5052		TAX-131221
PWY-5665	vanillin biosynthesis I	TAX-73496
PWY-5327	superpathway of L-lysine degradation	TAX-2759
PWY-5327		TAX-2
PWY-6030	serotonin and melatonin biosynthesis	TAX-33090
PWY-6030		TAX-33208
P181-PWY	nicotine degradation I (pyridine pathway)	TAX-201174
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation	TAX-33090
PWY-5138	fatty acid &beta;-oxidation IV (unsaturated, even number)	
PWY-5642	2,4-dinitrotoluene degradation	TAX-2
PWY-6854	ethylene biosynthesis III (microbes)	TAX-4751
PWY-6854		TAX-2
PWY-6517	N-acetylglucosamine degradation II	TAX-33208
PWY-6517		TAX-4751
PWY-6517		TAX-2
TRPSYN-PWY	L-tryptophan biosynthesis	TAX-4751
TRPSYN-PWY		TAX-2157
TRPSYN-PWY		TAX-2
TRPSYN-PWY		TAX-3193
PWY-7137	quercetin gentiotetraside biosynthesis	TAX-3398
PWY-5805	nonaprenyl diphosphate biosynthesis I	TAX-2759
PWY-5805	solanesyl diphosphate biosynthesis	TAX-2
PWY-5805	solanesyl pyrophosphate biosynthesis	TAX-2157
PWY-7163	polymethylated kaempferol biosynthesis	TAX-91827
PWY-7533	gliotoxin biosynthesis	TAX-1131492
PWY-7533		TAX-4751
PWY-5368	dimorphecolate biosynthesis	TAX-3398
PWY-5368	dimorphecolic acid biosynthesis	
PWY-7024	superpathway of the 3-hydroxypropanoate cycle	TAX-200795
PWY-7024	superpathway of the 3-hydroxypropionate cycle	
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	TAX-1224
PWY-4781	phytate degradation II	TAX-33090
PWY-3121	linamarin degradation	TAX-3465
PWY-3121	linamarin cyanogenesis	TAX-4004
PWY-3121		TAX-3803
PWY-3121		TAX-3977
PWY-3121		TAX-4210
PWY-7678	anthocyanidin sambubioside biosynthesis	TAX-3398
PWY-7046	4-coumarate degradation (anaerobic)	TAX-2
PWY-7046	p-coumarate degradation (anaerobic)	
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis	TAX-91347
PWY-5833	CDP-3,6-dideoxyhexose biosynthesis	
PWY-6886	1-butanol autotrophic biosynthesis (engineered)	TAX-186801
PWY-6886		TAX-33682
PWY-6886		TAX-1117
PWY-7007	methyl ketone biosynthesis (engineered)	TAX-2759
PWY-7007		TAX-2
PWYQT-4476	indole glucosinolate activation (herbivore attack)	TAX-3699
PWYQT-4476	indole glucosinolate breakdown (herbivore attack)	
PWYQT-4476	glucosinolate degradation	
PWY-5429	p-xylene degradation to p-toluate	TAX-2
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	TAX-6231
PWY-7384		TAX-6157
PWY-7384		TAX-6340
PWY-7384		TAX-6447
PWY-6855	chitin degradation I (archaea)	TAX-2157
PWY-6855	chitin degradation (archaea)	
PWY-5314	L-lysine degradation VIII	TAX-1224
PWY-5314		TAX-1239
PWY-2181	free phenylpropanoid acid biosynthesis	TAX-58024
PWY-1921	indole-3-acetate activation II	TAX-33090
PWY-1921	IAA biosynthesis from ester-conjugates	
PWY-1921	indole-3-acetic acid biosynthesis from ester-conjugates	
PWY-1921	IAA activation II	
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	TAX-33090
PWY-7115	C4 photosynthesis, NAD-ME type	
PWY-7270	L-methionine salvage cycle II (plants)	TAX-33090
PWY-7270	5'-methylthioadenosine cycle	
PWY-7270	superpathway of L-methionine recycling (plants)	
PWY-7270	MTA cycle	
PWY-7270	Yang cycle	
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)	TAX-2759
PWY-1361	benzoyl-CoA degradation I (aerobic)	TAX-2
PWY-6575	juvenile hormone III biosynthesis I	TAX-7147
PWY-6575	JH III biosynthesis	TAX-6993
PWY-6575	methyl-10R,11-epoxy-3,7,11-trimethyl-2E,6E-dodecadienoate biosynthesis	TAX-6970
PWY-6575	methyl (2E,6E)-(10R)-10,11-epoxy-3,7,11-trimethyl-2,6-dodecadienoate biosynthesis	TAX-4610
PWY-5288	astaxanthin biosynthesis (bacteria, fungi, algae)	TAX-2
PWY-5288		TAX-3042
PWY-5288		TAX-4751
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	TAX-1239
GLUDEG-II-PWY	L-glutamate fermentation	TAX-1224
GLUDEG-II-PWY	mesaconate pathway	
GLUDEG-II-PWY	L-glutamate degradation VII (to butyrate)	
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine	TAX-3699
PWY-7183	pyrimidine nucleobases salvage I	TAX-4751
PWY-7183	uracil salvage	TAX-33090
PWY-7183		TAX-2157
PWY-7183		TAX-2
PWY-6326	camptothecin biosynthesis	TAX-16921
PWY-6326		TAX-4321
PWY-6326		TAX-4289
PWY-6326		TAX-24966
PWY-6326		TAX-4056
PWY-5152	leucodelphinidin biosynthesis	TAX-58024
CAMALEXIN-SYN	camalexin biosynthesis	TAX-3699
PWY-6415	L-ascorbate biosynthesis V	TAX-3038
PWY-6415	L-ascorbic acid biosynthesis V	
PWY-6415	vitamin c biosynthesis	
PWY-6654	phosphopantothenate biosynthesis III	TAX-2157
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	TAX-2
GLUCARGALACTSUPER-PWY	D-glucarate and D-galactarate catabolism super-pathway	
GLUCARGALACTSUPER-PWY	aldarate catabolism	
PWY-5076	L-leucine degradation III	TAX-4751
PWY-5076	Ehrlich pathway	
PWY-6809	neoxanthin biosynthesis	TAX-33090
PWY-112	lupeol biosynthesis	TAX-33090
PWY-6684	aromatic  glucosinolate activation	TAX-3699
PWY-6684	glucotropeolin breakdown	
PWY0-321	phenylacetate degradation I (aerobic)	TAX-4751
PWY0-321		TAX-2
PWY-7134	rutin degradation (plants)	TAX-3398
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	TAX-33208
PWY-6362	phytate biosynthesis	
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	TAX-2
PWY-7247	D-glucuronate catabolism	
PWY-7247	D-glucuronate degradation	
PWY-7247	glucuronic acid degradation	
PWY-7247	glucuronate degradation	
PWY-7247	&beta;-D-glucuronide degradation	
PWY-7193	pyrimidine ribonucleosides salvage I	TAX-2759
PWY-7193		TAX-2
PWY-7193		TAX-2157
NONMEVIPP-PWY	methylerythritol phosphate pathway I	TAX-2
NONMEVIPP-PWY	nonmevalonate isopentenyl diphosphate biosynthesis	
NONMEVIPP-PWY	methylerythritol phosphate degradation	
NONMEVIPP-PWY	MEP degradation	
NONMEVIPP-PWY	deoxyxylulose phosphate pathway	
NONMEVIPP-PWY	DOXP pathway	
NONMEVIPP-PWY	Rohmer pathway	
NONMEVIPP-PWY	isopentenyl diphosphate biosynthesis -- mevalonate-independent	
NONMEVIPP-PWY	nonmevalonate isoprenoid pathway	
NONMEVIPP-PWY	MEP pathway	
PWY-7177	UTP and CTP dephosphorylation II	TAX-2
PWY-7177	pyrimidine nucleotides dephosphorylation	TAX-2759
PWY-5491	diethylphosphate degradation	TAX-2
PWY-3081	L-lysine biosynthesis V	TAX-2157
PWY-3081		TAX-2
P281-PWY	3-phenylpropanoate degradation	TAX-2157
P281-PWY	3-phenylpropionate degradation	TAX-2
P281-PWY	3-phenylpropionic acid degradation	
PWY-5441	S-methyl-L-methionine cycle	TAX-3193
PWY-5441	SMM cycle	
DARABITOLUTIL-PWY	D-arabitol degradation	TAX-1224
DARABITOLUTIL-PWY	D-arabitol utilization	
PWY-6863	pyruvate fermentation to hexanol (engineered)	TAX-2759
PWY-6863		TAX-2
PWY-5466	matairesinol biosynthesis	TAX-33090
PWY-6313	serotonin degradation	TAX-33208
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	TAX-2
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate branch of the 3-oxoadipate pathway	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate branch of the 3-ketoadipate pathway	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate branch of the &beta;-ketoadipate pathway	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation via ortho-cleavage	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation via the &beta;-ketoadipate pathway	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate 3,4-cleavage	
PWY-6389	(S)-acetoin biosynthesis	TAX-4751
PWY-6389	L-acetoin biosynthesis	TAX-2
PWY-6579	superpathway of guanine and guanosine salvage	
PWY3DJ-35471	L-ascorbate biosynthesis IV	TAX-7742
PWY3DJ-35471	vitamin C biosynthesis	
PWY3DJ-35471	L-ascorbic acid biosynthesis IV	
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	TAX-2157
TCA-GLYOX-BYPASS		TAX-2
PWY-6853	ethylene biosynthesis II (microbes)	TAX-2
PWY-6853		TAX-4751
PWY-6628	superpathway of L-phenylalanine biosynthesis	TAX-2
PWY66-378	androgen biosynthesis	TAX-7742
PWY66-378	testosterone biosynthesis	
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	TAX-2
ASPARAGINE-BIOSYNTHESIS		TAX-2759
PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	TAX-2759
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	TAX-4751
PWY-5083		TAX-33090
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	TAX-1224
P184-PWY	protocatechuate degradation via meta-cleavage	
P184-PWY	protocatechuate 4,5-cleavage	
PWY-2981	diterpene phytoalexins precursors biosynthesis	TAX-4479
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)	TAX-2157
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	TAX-2
PWY-5507	vitamin B12 biosynthesis	
PWY-6185	4-methylcatechol degradation (ortho cleavage)	TAX-4751
PWY-6185		TAX-2
PWY-7814	dTDP-L-daunosamine biosynthesis	TAX-2062
PWY-6005	marneral biosynthesis	TAX-3193
PWY-4341	L-glutamate biosynthesis V	TAX-33090
PWY-4341		TAX-1117
PWY0-1534	hydrogen sulfide biosynthesis I	TAX-2
PWY-3641	L-carnitine degradation III	TAX-1224
PWY-5970	fatty acids biosynthesis (yeast)	TAX-4751
PWY-5970	type I fatty acids biosynthesis	
PWY-6604	superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation	TAX-1239
PWY-5760	&beta;-alanine biosynthesis IV	TAX-4751
PWY-2242	ammonia oxidation III	TAX-1224
PWY-6807	xyloglucan degradation II (exoglucanase)	TAX-4751
PWY-7840	gala-series glycosphingolipids biosynthesis	TAX-33208
PWY-7840	ganglioside GM4 biosynthesis	
PWY-7840	galaglycosphingolipids biosynthesis	
PWY-7765	3-hydroxy-4-methyl-anthranilate biosynthesis II	TAX-2
PWY-7765	3-hydroxy-4-methyl-anthranilic acid biosynthesis II	
PWY-401	galactolipid biosynthesis I	TAX-33090
PWY-401	galactosylglyceride biosynthesis I	
PWY-7587	oleate biosynthesis III (cyanobacteria)	TAX-1117
PWY-7112	4-hydroxy-2-nonenal detoxification	TAX-33154
PWY-3861	mannitol degradation II	TAX-58023
PWY-5436	L-threonine degradation IV	TAX-2
PWY-5436		TAX-4751
PWY-7731	superpathway of photosynthetic hydrogen production	TAX-3041
PWY-7731	photosynthetic hydrogen generation	TAX-1117
P41-PWY	pyruvate fermentation to acetate and lactate I	TAX-2
P41-PWY	pyruvate metabolism	
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	TAX-4751
PWY-6890	HMP-PP biosynthesis	TAX-33090
PWY-6890		TAX-33630
PWY-6890		TAX-2157
PWY-6890		TAX-2
PWY-7481	oryzalide A biosynthesis	TAX-4479
PWY-7481		TAX-3398
PWY-6285	superpathway of fatty acids biosynthesis (E. coli)	TAX-2
PWY-321	cutin biosynthesis	TAX-33090
PWY-321	cutin monomer biosynthesis	
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	TAX-4751
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	TAX-33090
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	TAX-201174
PWY-6470	penicillin resistance	TAX-1239
PWY-6470	&beta;-lactam resistance	
PWY-7357	thiamine formation from pyrithiamine and oxythiamine (yeast)	TAX-4751
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	TAX-1783257
PWY-7764	chlorophyll a biosynthesis III	TAX-3041
PWY-7764		TAX-33634
PWY-7764		TAX-2763
PWY-7764		TAX-1117
PWY-7764		TAX-33682
PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	TAX-35493
PWY-6668	TMTT biosynthesis	
PWY-6825	phosphatidylcholine biosynthesis V	TAX-4751
PWY-6825		TAX-33154
PWY-6825		TAX-2
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	TAX-2157
PWY-6163		TAX-3041
PWY-6163		TAX-2763
PWY-6163		TAX-287987
PWY-6163		TAX-5204
PWY-6163		TAX-2836
PWY-6163		TAX-4762
PWY-6163		TAX-4890
PWY-6163		TAX-5794
PWY-6163		TAX-33090
PWY-6163		TAX-2
PWY-6845	nitric oxide biosynthesis (plants)	TAX-33090
PWY-5663	tetrahydrobiopterin biosynthesis I	TAX-33682
PWY-5663		TAX-68336
PWY-5663		TAX-33208
PWY-5663		TAX-4751
PWY-5663		TAX-1117
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)	TAX-2
PWY-6892	(R,Z)-2-(2-carboxy-4-methylthiazol-5(2H)-ylidene)ethyl phosphate biosynthesis	
PWY1G-0	mycothiol biosynthesis	TAX-201174
PWY1G-0	MSH biosynthesis	
PWY-7295	L-arabinose degradation IV	TAX-2157
PWY-5087	L-glutamate degradation VI (to pyruvate)	TAX-2
PWY-5087	L-glutamate fermentation	
PWY-5087	mesaconate pathway	
PWY-5087	methylaspartate pathway	
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	TAX-2157
CODH-PWY	Wood pathway	TAX-2
CODH-PWY	acetate synthesis	
CODH-PWY	acetyl-CoA pathway	
CODH-PWY	carbon monoxide dehydrogenase pathway	
CODH-PWY	carbon fixation	
CODH-PWY	CO2 fixation	
CODH-PWY	Ljungdahl-Wood pathway	
CODH-PWY	Wood-Ljungdahl pathway	
CODH-PWY	reductive acetyl CoA pathway	
PWY-7233	ubiquinol-6 bypass biosynthesis (eukaryotic)	TAX-4751
PWY-5081	L-tryptophan degradation VIII (to tryptophol)	TAX-4751
PWY-5081	Ehrlich pathway	
PWY-6895	superpathway of thiamine diphosphate biosynthesis II	TAX-2
PWY-6895	superpathway of thiamine diphosphate biosynthesis (Bacillus)	
PWY-6895	superpathway of vitamin B1 biosynthesis (Bacillus)	
PWY-5184	toluene degradation VI (anaerobic)	TAX-1224
PWY-6588	pyruvate fermentation to acetone	TAX-2
PWY-6588	acetone fermentation	
PWY-3061	menthol biosynthesis	TAX-4136
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	TAX-2
PWY-7218	photosynthetic 3-hydroxybutyrate biosynthesis (engineered)	
PWY-5107	phytol salvage pathway	TAX-3398
PWY-5107	phytyl-PP biosynthesis (from phytol)	
PWY-5107	phytyl-diphosphate biosynthesis (from phytol)	
PWY-2821	glucosinolate biosynthesis from phenylalanine	TAX-3699
PWY-7721	methyl phomopsenoate biosynthesis	TAX-4751
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	TAX-2
BIOTIN-BIOSYNTHESIS-PWY	vitamin H biosynthesis	
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	TAX-2
PWY-7376		TAX-2157
PWY-6629	superpathway of L-tryptophan biosynthesis	TAX-2
P122-PWY	heterolactic fermentation	TAX-1239
P122-PWY	lactate heterofermentation	
P122-PWY	glucose fermentation to lactate	
P122-PWY	phosphoketolase pathway	
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	TAX-201174
PWY4FS-12	VTC2 cycle	TAX-33090
PWY4FS-12	GDP-D-mannose biosynthesis	
PWY-5705	allantoin degradation to glyoxylate III	TAX-33090
PWY-5705		TAX-2
PYRIDNUCSAL-PWY	NAD salvage pathway I	TAX-4751
PYRIDNUCSAL-PWY	pyridine nucleotide cycling	TAX-2
PYRIDNUCSAL-PWY	PNC VI pathway	
PYRIDNUCSAL-PWY	nicotinamide adenine dinucleotide salvage	
PWY-5426	betaxanthin biosynthesis	TAX-4751
PWY-5426		TAX-3524
PWY0-1517	sedoheptulose bisphosphate bypass	TAX-2759
PWY0-1517		TAX-2
PWY-5125	anthocyanin biosynthesis	TAX-58024
PWY-5125	cyanidin 3-O-glucoside biosynthesis	
PWY-5706	alliin metabolism	TAX-40553
PWY-5706	allium thiosulfinates metabolism	
PWY-5706	garlic thiosulfinate metabolism	
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)	TAX-4751
PWY-5285	sulfide oxidation III (persulfide dioxygenase)	TAX-1224
PWY0-1021	L-alanine biosynthesis III	TAX-2759
PWY0-1021		TAX-2
PWY0-1391	S-methyl-5'-thioadenosine degradation IV	TAX-2
PWY0-1391	methylthioadenosine degradation IV	
PWY-5469	sesamin biosynthesis	TAX-33090
PWY-5459	methylglyoxal degradation IV	TAX-2
PWY-6803	phosphatidylcholine acyl editing	TAX-58024
PWY0-1561	glycerol-3-phosphate to cytochrome bo oxidase electron transfer	TAX-2
PWY0-1561		TAX-2157
PWY0-1355	formate to trimethylamine N-oxide electron transfer	TAX-2
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	TAX-1224
PWY66-394	aspirin triggered resolvin E biosynthesis	TAX-40674
PWY-5535	acetate formation from acetyl-CoA II	TAX-207245
PWY-5535		TAX-554915
PWY-5535		TAX-33154
PWY-5535		TAX-2
PWY-5535		TAX-2157
PWY-2161B	glutamate removal from folates	TAX-2759
PWY0-1315	L-lactaldehyde degradation (anaerobic)	TAX-2
PWY-6370	ascorbate recycling (cytosolic)	TAX-7742
PWY-6370	vitamin C recycling (cytosolic)	
PWY-5756	saponin biosynthesis II	TAX-3193
PWY-5756	oleanolate glucuronide triterpene saponin biosynthesis	
PWY-5756	oleanolate glucuronide biosynthesis	
PWY-5756	triterpene saponin biosynthesis II	
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)	TAX-6231
PWY-7383		TAX-6157
PWY-7383		TAX-6340
PWY-7383		TAX-6447
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	TAX-2759
NONOXIPENT-PWY		TAX-2
PWY3O-4108	L-tyrosine degradation III	TAX-4751
PWY-6871	3-methylbutanol biosynthesis (engineered)	TAX-4891
PWY-6871		TAX-2
PWY-6713	L-rhamnose degradation II	TAX-2
PWY-6713	aldolase pathway	TAX-4751
PWY-4261	glycerol degradation I	TAX-2157
PWY-4261		TAX-2
PWY-4261		TAX-33090
PWY-4261		TAX-4751
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	TAX-2763
CHLOROPHYLL-SYN	light-dependent aerobic 3,8-divinyl-chlorophyllide a biosynthesis I	TAX-33682
CHLOROPHYLL-SYN		TAX-2
CHLOROPHYLL-SYN		TAX-33090
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	TAX-2
P321-PWY	benzoyl-CoA degradation III (anaerobic)	TAX-2
P321-PWY	anaerobic benzoyl-CoA degradation	
PWY-7155	7-dehydroporiferasterol biosynthesis	TAX-3041
PWY-5175	lactucaxanthin biosynthesis	TAX-3398
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	TAX-2759
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	TAX-2
PWY-1861	ribulose monophosphate cycle	
PWY-1861	formaldehyde assimilation	
PWY-1861	RuMP pathway	
PWY-4821	UDP-D-xylose biosynthesis	TAX-82115
PWY-4821	UDP-xylose biosynthesis	TAX-2759
PWY-4821	UDPXyl biosynthesis	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	TAX-2759
ILEUSYN-PWY		TAX-2
PWY-6786	detoxification of reactive carbonyls in chloroplasts	TAX-3193
