gene	organism	chromosome	start	end
At5g24110	Arabidopsis thaliana	Chr5	8153114	8154709	
At2g25260	Arabidopsis thaliana	Chr2	10755523	10757772	
At1g18390	Arabidopsis thaliana	Chr1	6327462	6330098	
At4g21910	Arabidopsis thaliana	Chr4	11625442	11629417	
At4g12110	Arabidopsis thaliana	Chr4	7254048	7256406	
At1g55130	Arabidopsis thaliana	Chr1	20569653	20572393	
At3g12775	Arabidopsis thaliana	Chr3	4059771	4060944	
At5g25860	Arabidopsis thaliana	Chr5	9016907	9018424	
At3g12770	Arabidopsis thaliana	Chr3	4057011	4059214	
At4g19006	Arabidopsis thaliana	Chr4	10409182	10411465	
At2g31070	Arabidopsis thaliana	Chr2	13220477	13222609	
At3g61210	Arabidopsis thaliana	Chr3	22658677	22659870	
At5g46410	Arabidopsis thaliana	Chr5	18825102	18829221	
At4g28390	Arabidopsis thaliana	Chr4	14041287	14043278	
At4g28397	Arabidopsis thaliana	Chr4	14045923	14046689	
At4g28395	Arabidopsis thaliana	Chr4	14043939	14044902	
At2g05050	Arabidopsis thaliana	Chr2	1794034	1795084	
At3g16900	Arabidopsis thaliana	Chr3	5772105	5772849	
At3g12480	Arabidopsis thaliana	Chr3	3957776	3960472	
At1g66235	Arabidopsis thaliana	Chr1	24683005	24683874	
At1g13410	Arabidopsis thaliana	Chr1	4601260	4603298	
At1g66230	Arabidopsis thaliana	Chr1	24677153	24678415	
At5g23770	Arabidopsis thaliana	Chr5	8014380	8016913	
At2g25880	Arabidopsis thaliana	Chr2	11034651	11036910	
At3g44713	Arabidopsis thaliana	Chr3	16260204	16262484	
At3g44710	Arabidopsis thaliana	Chr3	16251833	16253535	
At3g44716	Arabidopsis thaliana	Chr3	16263199	16263875	
At3g44718	Arabidopsis thaliana	Chr3	16266110	16266314	
At2g24130	Arabidopsis thaliana	Chr2	10258147	10261220	
At4g30210	Arabidopsis thaliana	Chr4	14796763	14800922	
At4g24730	Arabidopsis thaliana	Chr4	12749277	12754096	
At1g09650	Arabidopsis thaliana	Chr1	3125806	3127284	
At4g32540	Arabidopsis thaliana	Chr4	15700903	15702960	
At5g01740	Arabidopsis thaliana	Chr5	280721	281445	
At1g54260	Arabidopsis thaliana	Chr1	20256935	20259417	
At5g61230	Arabidopsis thaliana	Chr5	24627186	24628968	
At2g45500	Arabidopsis thaliana	Chr2	18749797	18752851	
At5g06770	Arabidopsis thaliana	Chr5	2090702	2092950	
At3g49520	Arabidopsis thaliana	Chr3	18359583	18360750	
At5g64550	Arabidopsis thaliana	Chr5	25801527	25804980	
At5g64552	Arabidopsis thaliana	Chr5	25801527	25804980	
At3g02990	Arabidopsis thaliana	Chr3	673471	676403	
At3g62740	Arabidopsis thaliana	Chr3	23211415	23213888	
At5g16530	Arabidopsis thaliana	Chr5	5400734	5402626	
At1g03100	Arabidopsis thaliana	Chr1	743884	746479	
At1g03103	Arabidopsis thaliana	Chr1	747196	748057	
At2g40630	Arabidopsis thaliana	Chr2	16958145	16961144	
At1g03106	Arabidopsis thaliana	Chr1	748101	749034	
At3g03020	Arabidopsis thaliana	Chr3	680943	681999	
At4g13790	Arabidopsis thaliana	Chr4	7999713	8000222	
At1g30700	Arabidopsis thaliana	Chr1	10892569	10894572	
At1g51160	Arabidopsis thaliana	Chr1	18949594	18951783	
At1g06550	Arabidopsis thaliana	Chr1	2003626	2007190	
At5g20740	Arabidopsis thaliana	Chr5	7025685	7026532	
At4g14220	Arabidopsis thaliana	Chr4	8195880	8198562	
At4g14225	Arabidopsis thaliana	Chr4	8198776	8199202	
At4g14226	Arabidopsis thaliana	Chr4	8199424	8199592	
At1g07680	Arabidopsis thaliana	Chr1	2376011	2377186	
At4g23420	Arabidopsis thaliana	Chr4	12225514	12228687	
At2g32030	Arabidopsis thaliana	Chr2	13632467	13633335	
At4g00440	Arabidopsis thaliana	Chr4	193878	198579	
At5g26742	Arabidopsis thaliana	Chr5	9284985	9289003	
At5g26740	Arabidopsis thaliana	Chr5	9291935	9294608	
At5g26749	Arabidopsis thaliana	Chr5	9398014	9399267	
At2g30880	Arabidopsis thaliana	Chr2	13142664	13145916	
At4g31160	Arabidopsis thaliana	Chr4	15145852	15153075	
At3g61050	Arabidopsis thaliana	Chr3	22597226	22601412	
At5g59350	Arabidopsis thaliana	Chr5	23940781	23942213	
At1g75750	Arabidopsis thaliana	Chr1	28441525	28442367	
At5g58000	Arabidopsis thaliana	Chr5	23477410	23479598	
At1g70500	Arabidopsis thaliana	Chr1	26566578	26568729	
At5g53050	Arabidopsis thaliana	Chr5	21510128	21513576	
At5g58005	Arabidopsis thaliana	Chr5	23482186	23483165	
At2g43310	Arabidopsis thaliana	Chr2	17995900	17996688	
At1g70505	Arabidopsis thaliana	Chr1	26570646	26572463	
At3g46870	Arabidopsis thaliana	Chr3	17262982	17264475	
At5g61900	Arabidopsis thaliana	Chr5	24855660	24859341	
Atcg00660	Arabidopsis thaliana	Chrc	68511	68865	
At5g24860	Arabidopsis thaliana	Chr5	8541777	8542449	
At3g18140	Arabidopsis thaliana	Chr3	6212595	6214785	
At3g59190	Arabidopsis thaliana	Chr3	21884526	21886776	
At3g54110	Arabidopsis thaliana	Chr3	20038679	20041210	
At4g23280	Arabidopsis thaliana	Chr4	12174739	12177471	
At5g11250	Arabidopsis thaliana	Chr5	3587977	3591960	
At4g22770	Arabidopsis thaliana	Chr4	11963627	11965684	
At2g33340	Arabidopsis thaliana	Chr2	14126216	14131153	
At3g62500	Arabidopsis thaliana	Chr3	23120422	23122222	
At3g59440	Arabidopsis thaliana	Chr3	21970354	21971122	
At3g51690	Arabidopsis thaliana	Chr3	19176373	19178161	
At5g27830	Arabidopsis thaliana	Chr5	9861175	9862822	
At4g20880	Arabidopsis thaliana	Chr4	11179114	11180799	
At3g50120	Arabidopsis thaliana	Chr3	18584999	18587312	
At4g03165	Arabidopsis thaliana	Chr4	1399377	1400291	
At3g50123	Arabidopsis thaliana	Chr3	18587973	18588117	
At3g01311	Arabidopsis thaliana	Chr3	103042	104287	
At3g01310	Arabidopsis thaliana	Chr3	94176	101977	
At4g03160	Arabidopsis thaliana	Chr4	1397978	1398685	
At3g01319	Arabidopsis thaliana	Chr3	106295	106436	
At4g22485	Arabidopsis thaliana	Chr4	11844505	11846476	
At1g68350	Arabidopsis thaliana	Chr1	25616489	25617265	
At5g66300	Arabidopsis thaliana	Chr5	26479792	26481334	
At1g72900	Arabidopsis thaliana	Chr1	27432194	27433782	
At3g04890	Arabidopsis thaliana	Chr3	1347645	1349202	
At2g36835	Arabidopsis thaliana	Chr2	15449602	15451426	
At2g31820	Arabidopsis thaliana	Chr2	13530349	13532562	
At2g36830	Arabidopsis thaliana	Chr2	15445424	15446574	
At1g72980	Arabidopsis thaliana	Chr1	27456042	27456873	
At3g30456	Arabidopsis thaliana	Chr3	12094412	12094580	
At1g73360	Arabidopsis thaliana	Chr1	27578695	27582521	
At5g56620	Arabidopsis thaliana	Chr5	22918520	22921139	
At1g68680	Arabidopsis thaliana	Chr1	25785505	25786924	
At5g54800	Arabidopsis thaliana	Chr5	22261270	22263921	
At5g59520	Arabidopsis thaliana	Chr5	23991252	23992798	
At3g54804	Arabidopsis thaliana	Chr3	20293146	20293251	
At1g05960	Arabidopsis thaliana	Chr1	1807972	1815465	
At3g54802	Arabidopsis thaliana	Chr3	20291589	20291742	
At3g54800	Arabidopsis thaliana	Chr3	20286084	20290077	
At4g29700	Arabidopsis thaliana	Chr4	14543456	14545138	
At1g72020	Arabidopsis thaliana	Chr1	27109290	27110431	
At3g58310	Arabidopsis thaliana	Chr3	21584037	21585030	
At2g42960	Arabidopsis thaliana	Chr2	17868596	17870630	
At1g42710	Arabidopsis thaliana	Chr1	16077591	16078567	
At1g47940	Arabidopsis thaliana	Chr1	17668284	17669713	
At4g06536	Arabidopsis thaliana	Chr4	3360745	3361255	
At4g06534	Arabidopsis thaliana	Chr4	3356869	3358087	
At3g56400	Arabidopsis thaliana	Chr3	20908927	20910481	
At4g02690	Arabidopsis thaliana	Chr4	1185750	1187816	
At4g32530	Arabidopsis thaliana	Chr4	15693113	15695100	
At3g52080	Arabidopsis thaliana	Chr3	19315042	19317843	
At5g17960	Arabidopsis thaliana	Chr5	5945664	5947464	
At5g24879	Arabidopsis thaliana	Chr5	8552490	8552604	
At1g32610	Arabidopsis thaliana	Chr1	11795608	11797141	
At1g69080	Arabidopsis thaliana	Chr1	25971948	25973271	
At1g56320	Arabidopsis thaliana	Chr1	21085547	21086494	
At1g62050	Arabidopsis thaliana	Chr1	22936126	22939024	
At4g08460	Arabidopsis thaliana	Chr4	5377122	5380608	
At5g58690	Arabidopsis thaliana	Chr5	23709528	23712131	
At1g59312	Arabidopsis thaliana	Chr1	21839857	21841972	
At5g60620	Arabidopsis thaliana	Chr5	24367197	24369790	
At1g35340	Arabidopsis thaliana	Chr1	12977764	12979910	
At2g38690	Arabidopsis thaliana	Chr2	16176630	16177754	
At4g02340	Arabidopsis thaliana	Chr4	1035680	1037615	
At1g72010	Arabidopsis thaliana	Chr1	27107566	27109275	
At5g51540	Arabidopsis thaliana	Chr5	20932030	20936413	
At5g51545	Arabidopsis thaliana	Chr5	20936425	20937413	
At4g31940	Arabidopsis thaliana	Chr4	15451987	15454160	
At5g28660	Arabidopsis thaliana	Chr5	10683217	10683926	
At2g37880	Arabidopsis thaliana	Chr2	15860632	15861618	
At1g69550	Arabidopsis thaliana	Chr1	26148020	26153555	
At5g67160	Arabidopsis thaliana	Chr5	26797612	26799041	
At5g39250	Arabidopsis thaliana	Chr5	15724486	15725756	
At1g77620	Arabidopsis thaliana	Chr1	29167763	29172867	
At2g37870	Arabidopsis thaliana	Chr2	15859238	15859907	
At5g55040	Arabidopsis thaliana	Chr5	22327239	22331813	
At2g35580	Arabidopsis thaliana	Chr2	14933827	14935482	
At2g35585	Arabidopsis thaliana	Chr2	14936665	14937964	
At1g48410	Arabidopsis thaliana	Chr1	17886097	17892586	
At2g04515	Arabidopsis thaliana	Chr2	1573636	1574478	
At2g19710	Arabidopsis thaliana	Chr2	8506129	8510081	
At1g77990	Arabidopsis thaliana	Chr1	29317898	29323352	
At2g28110	Arabidopsis thaliana	Chr2	11977943	11979837	
At5g56600	Arabidopsis thaliana	Chr5	22909684	22910821	
At4g34270	Arabidopsis thaliana	Chr4	16403843	16406240	
At4g34272	Arabidopsis thaliana	Chr4	16406425	16406542	
At1g55670	Arabidopsis thaliana	Chr1	20802669	20803449	
At1g55675	Arabidopsis thaliana	Chr1	20803703	20804573	
At4g04970	Arabidopsis thaliana	Chr4	2537038	2543131	
At4g04972	Arabidopsis thaliana	Chr4	2543463	2543971	
At5g61570	Arabidopsis thaliana	Chr5	24758346	24760652	
At4g05370	Arabidopsis thaliana	Chr4	2736134	2736584	
At1g26970	Arabidopsis thaliana	Chr1	9359681	9361833	
At2g41225	Arabidopsis thaliana	Chr2	17191027	17191486	
At5g50630	Arabidopsis thaliana	Chr5	20602920	20604956	
At5g07500	Arabidopsis thaliana	Chr5	2372618	2373655	
At2g41220	Arabidopsis thaliana	Chr2	17177663	17188751	
At1g26976	Arabidopsis thaliana	Chr1	9364995	9365610	
At2g36580	Arabidopsis thaliana	Chr2	15339121	15343086	
At5g14200	Arabidopsis thaliana	Chr5	4576201	4578402	
At3g02030	Arabidopsis thaliana	Chr3	344907	348847	
At1g63010	Arabidopsis thaliana	Chr1	23347560	23352697	
At1g64040	Arabidopsis thaliana	Chr1	23758282	23760558	
At1g65310	Arabidopsis thaliana	Chr1	24257215	24258473	
At4g19450	Arabidopsis thaliana	Chr4	10606452	10609335	
At3g07200	Arabidopsis thaliana	Chr3	2290761	2292492	
At4g01610	Arabidopsis thaliana	Chr4	694694	697206	
At1g73580	Arabidopsis thaliana	Chr1	27654840	27655518	
At1g34120	Arabidopsis thaliana	Chr1	12426777	12429710	
At1g10530	Arabidopsis thaliana	Chr1	3471455	3472672	
At5g12440	Arabidopsis thaliana	Chr5	4035293	4038795	
At5g54390	Arabidopsis thaliana	Chr5	22085997	22088017	
At4g34890	Arabidopsis thaliana	Chr4	16618572	16625057	
At5g17350	Arabidopsis thaliana	Chr5	5718771	5719608	
At2g36050	Arabidopsis thaliana	Chr2	15135571	15136749	
At2g36053	Arabidopsis thaliana	Chr2	15138995	15139178	
At5g03110	Arabidopsis thaliana	Chr5	730291	731448	
At5g52770	Arabidopsis thaliana	Chr5	21389765	21390189	
At1g09510	Arabidopsis thaliana	Chr1	3069384	3070910	
At5g04460	Arabidopsis thaliana	Chr5	1260008	1263862	
At5g08120	Arabidopsis thaliana	Chr5	2600473	2602927	
At5g59010	Arabidopsis thaliana	Chr5	23820367	23823265	
At5g54020	Arabidopsis thaliana	Chr5	21921863	21923534	
At2g44470	Arabidopsis thaliana	Chr2	18354185	18358679	
At2g18750	Arabidopsis thaliana	Chr2	8125517	8128620	
At1g35830	Arabidopsis thaliana	Chr1	13321213	13322122	
At4g04020	Arabidopsis thaliana	Chr4	1932143	1933950	
At3g60870	Arabidopsis thaliana	Chr3	22493203	22494001	
At4g40050	Arabidopsis thaliana	Chr4	18560859	18563838	
At2g40570	Arabidopsis thaliana	Chr2	16940834	16943492	
At4g16070	Arabidopsis thaliana	Chr4	9096729	9100841	
At2g05060	Arabidopsis thaliana	Chr2	1798154	1799102	
At2g20830	Arabidopsis thaliana	Chr2	8968208	8970630	
At5g16920	Arabidopsis thaliana	Chr5	5567010	5568128	
At5g19750	Arabidopsis thaliana	Chr5	6677068	6679384	
At5g43930	Arabidopsis thaliana	Chr5	17676815	17681000	
At5g43935	Arabidopsis thaliana	Chr5	17682178	17683446	
At3g09120	Arabidopsis thaliana	Chr3	2796957	2798764	
At2g06200	Arabidopsis thaliana	Chr2	2426270	2427323	
At5g11930	Arabidopsis thaliana	Chr5	3844939	3845645	
At5g15690	Arabidopsis thaliana	Chr5	5113822	5114477	
At1g62830	Arabidopsis thaliana	Chr1	23264489	23267202	
At2g02910	Arabidopsis thaliana	Chr2	847175	849598	
At5g53890	Arabidopsis thaliana	Chr5	21876860	21880461	
At1g20980	Arabidopsis thaliana	Chr1	7324587	7329385	
At2g23190	Arabidopsis thaliana	Chr2	9877057	9879007	
At1g24600	Arabidopsis thaliana	Chr1	8720308	8720721	
At4g09984	Arabidopsis thaliana	Chr4	6254427	6255482	
At2g03350	Arabidopsis thaliana	Chr2	1019578	1021186	
At3g50060	Arabidopsis thaliana	Chr3	18557969	18559106	
At3g20230	Arabidopsis thaliana	Chr3	7055352	7056758	
At5g09650	Arabidopsis thaliana	Chr5	2991148	2993213	
At5g43680	Arabidopsis thaliana	Chr5	17544028	17545752	
At5g41270	Arabidopsis thaliana	Chr5	16507708	16508879	
At5g53550	Arabidopsis thaliana	Chr5	21755290	21758917	
At4g18465	Arabidopsis thaliana	Chr4	10197055	10201611	
At4g18460	Arabidopsis thaliana	Chr4	10195536	10196796	
At1g61566	Arabidopsis thaliana	Chr1	22717059	22717610	
At3g60290	Arabidopsis thaliana	Chr3	22282626	22284556	
At1g61563	Arabidopsis thaliana	Chr1	22714920	22715448	
At1g61560	Arabidopsis thaliana	Chr1	22708696	22712044	
At2g35800	Arabidopsis thaliana	Chr2	15044044	15048603	
At5g09380	Arabidopsis thaliana	Chr5	2911312	2913136	
At5g47930	Arabidopsis thaliana	Chr5	19406162	19407400	
At5g18400	Arabidopsis thaliana	Chr5	6092681	6094994	
At4g17300	Arabidopsis thaliana	Chr4	9681538	9684975	
At1g67920	Arabidopsis thaliana	Chr1	25473543	25474140	
At5g18404	Arabidopsis thaliana	Chr5	6096148	6096406	
At5g18407	Arabidopsis thaliana	Chr5	6096746	6097158	
At1g18150	Arabidopsis thaliana	Chr1	6244383	6247655	
At3g60120	Arabidopsis thaliana	Chr3	22205946	22208952	
At3g55680	Arabidopsis thaliana	Chr3	20665684	20666315	
At3g52770	Arabidopsis thaliana	Chr3	19557720	19559007	
At3g61450	Arabidopsis thaliana	Chr3	22738352	22740096	
At2g02000	Arabidopsis thaliana	Chr2	469369	472070	
At2g43790	Arabidopsis thaliana	Chr2	18138306	18140988	
At2g43795	Arabidopsis thaliana	Chr2	18140943	18142369	
At2g22960	Arabidopsis thaliana	Chr2	9770893	9772932	
At5g49680	Arabidopsis thaliana	Chr5	20176384	20188307	
At3g21540	Arabidopsis thaliana	Chr3	7585945	7590856	
At2g01260	Arabidopsis thaliana	Chr2	135243	137806	
At2g42220	Arabidopsis thaliana	Chr2	17592037	17593500	
At1g26110	Arabidopsis thaliana	Chr1	9024344	9027786	
At1g66030	Arabidopsis thaliana	Chr1	24583148	24583652	
At1g22600	Arabidopsis thaliana	Chr1	7987140	7989217	
At5g47306	Arabidopsis thaliana	Chr5	19200252	19200375	
At5g61560	Arabidopsis thaliana	Chr5	24752867	24756718	
At5g47300	Arabidopsis thaliana	Chr5	19198124	19199375	
At5g40650	Arabidopsis thaliana	Chr5	16281403	16283527	
At3g61980	Arabidopsis thaliana	Chr3	22956138	22956883	
At1g32150	Arabidopsis thaliana	Chr1	11565517	11568531	
At5g45030	Arabidopsis thaliana	Chr5	18172470	18176207	
At2g07981	Arabidopsis thaliana	Chr2	3614985	3617716	
At5g05400	Arabidopsis thaliana	Chr5	1597744	1600369	
At5g06170	Arabidopsis thaliana	Chr5	1869790	1871719	
At1g67070	Arabidopsis thaliana	Chr1	25042134	25044647	
At4g38180	Arabidopsis thaliana	Chr4	17906513	17909677	
At3g55200	Arabidopsis thaliana	Chr3	20460532	20464556	
At5g48630	Arabidopsis thaliana	Chr5	19721502	19723168	
At1g18840	Arabidopsis thaliana	Chr1	6500847	6504413	
At5g40470	Arabidopsis thaliana	Chr5	16208008	16209897	
At3g62180	Arabidopsis thaliana	Chr3	23019622	23020479	
At3g28690	Arabidopsis thaliana	Chr3	10755444	10757868	
At2g16860	Arabidopsis thaliana	Chr2	7303918	7306671	
At2g21430	Arabidopsis thaliana	Chr2	9171884	9173339	
At5g01230	Arabidopsis thaliana	Chr5	92624	95701	
At1g27640	Arabidopsis thaliana	Chr1	9614462	9614906	
At2g14050	Arabidopsis thaliana	Chr2	5909177	5913817	
At2g45790	Arabidopsis thaliana	Chr2	18855774	18858018	
At4g13550	Arabidopsis thaliana	Chr4	7871056	7876963	
At4g37200	Arabidopsis thaliana	Chr4	17509620	17511364	
At1g51360	Arabidopsis thaliana	Chr1	19044183	19044900	
At3g09180	Arabidopsis thaliana	Chr3	2819117	2821425	
At4g14020	Arabidopsis thaliana	Chr4	8095214	8095736	
At2g16740	Arabidopsis thaliana	Chr2	7267721	7268942	
At1g50090	Arabidopsis thaliana	Chr1	18554640	18556794	
At1g29730	Arabidopsis thaliana	Chr1	10400563	10405874	
At1g53210	Arabidopsis thaliana	Chr1	19844631	19847836	
At3g16650	Arabidopsis thaliana	Chr3	5671066	5675324	
At5g43100	Arabidopsis thaliana	Chr5	17299122	17303058	
At2g45240	Arabidopsis thaliana	Chr2	18655938	18659077	
At3g11920	Arabidopsis thaliana	Chr3	3772310	3774887	
At3g22160	Arabidopsis thaliana	Chr3	7817856	7818985	
At1g07910	Arabidopsis thaliana	Chr1	2445469	2454645	
At1g64520	Arabidopsis thaliana	Chr1	23956385	23958322	
At1g20510	Arabidopsis thaliana	Chr1	7103453	7105881	
At3g48900	Arabidopsis thaliana	Chr3	18131828	18136343	
At5g39950	Arabidopsis thaliana	Chr5	15990686	15991931	
At1g79450	Arabidopsis thaliana	Chr1	29887691	29890145	
At3g25670	Arabidopsis thaliana	Chr3	9344531	9346301	
At4g21690	Arabidopsis thaliana	Chr4	11527228	11529060	
At3g49055	Arabidopsis thaliana	Chr3	18185165	18186968	
At2g23360	Arabidopsis thaliana	Chr2	9948902	9952845	
At3g49050	Arabidopsis thaliana	Chr3	18180967	18183752	
At3g49051	Arabidopsis thaliana	Chr3	18184290	18184431	
At3g23780	Arabidopsis thaliana	Chr3	8567730	8574190	
At5g22700	Arabidopsis thaliana	Chr5	7545515	7547595	
At2g25409	Arabidopsis thaliana	Chr2	10815361	10815995	
At3g15354	Arabidopsis thaliana	Chr3	5169094	5172837	
At3g15355	Arabidopsis thaliana	Chr3	5183738	5186929	
At2g17830	Arabidopsis thaliana	Chr2	7754209	7755604	
At3g15357	Arabidopsis thaliana	Chr3	5187115	5187710	
At3g15350	Arabidopsis thaliana	Chr3	5166205	5169151	
At3g15351	Arabidopsis thaliana	Chr3	5176058	5177648	
At3g15352	Arabidopsis thaliana	Chr3	5179412	5180665	
At3g15353	Arabidopsis thaliana	Chr3	5180666	5181400	
At2g42470	Arabidopsis thaliana	Chr2	17679886	17685187	
At3g15358	Arabidopsis thaliana	Chr3	5178012	5178838	
At3g15359	Arabidopsis thaliana	Chr3	5173592	5173781	
At3g22780	Arabidopsis thaliana	Chr3	8048801	8052260	
At2g20470	Arabidopsis thaliana	Chr2	8826276	8829497	
At2g15090	Arabidopsis thaliana	Chr2	6542255	6543947	
At3g51450	Arabidopsis thaliana	Chr3	19090946	19092509	
At3g26090	Arabidopsis thaliana	Chr3	9532747	9535629	
At4g10230	Arabidopsis thaliana	Chr4	6366260	6367185	
At5g62240	Arabidopsis thaliana	Chr5	25002357	25004766	
At3g50320	Arabidopsis thaliana	Chr3	18653730	18654717	
At3g57110	Arabidopsis thaliana	Chr3	21134923	21135334	
At3g01150	Arabidopsis thaliana	Chr3	51582	54506	
At4g11540	Arabidopsis thaliana	Chr4	6990977	6992555	
At4g15040	Arabidopsis thaliana	Chr4	8581372	8584122	
At5g22190	Arabidopsis thaliana	Chr5	7354163	7354688	
At2g11570	Arabidopsis thaliana	Chr2	4634250	4635203	
At3g24780	Arabidopsis thaliana	Chr3	9049445	9051593	
At2g23580	Arabidopsis thaliana	Chr2	10033042	10034327	
At5g23820	Arabidopsis thaliana	Chr5	8031267	8033020	
At5g37050	Arabidopsis thaliana	Chr5	14640509	14641421	
At5g37055	Arabidopsis thaliana	Chr5	14641550	14642440	
At3g18210	Arabidopsis thaliana	Chr3	6237929	6240605	
At2g27290	Arabidopsis thaliana	Chr2	11678399	11679797	
At2g33509	Arabidopsis thaliana	Chr2	14193889	14194114	
At5g57620	Arabidopsis thaliana	Chr5	23334816	23336566	
At5g22440	Arabidopsis thaliana	Chr5	7435075	7436686	
At5g57625	Arabidopsis thaliana	Chr5	23337849	23338807	
At3g24255	Arabidopsis thaliana	Chr3	8788853	8793368	
At3g18570	Arabidopsis thaliana	Chr3	6395859	6396606	
At3g24250	Arabidopsis thaliana	Chr3	8786688	8787391	
At5g08240	Arabidopsis thaliana	Chr5	2650836	2652398	
At2g21980	Arabidopsis thaliana	Chr2	9358881	9359061	
At1g21390	Arabidopsis thaliana	Chr1	7489150	7490737	
At1g21395	Arabidopsis thaliana	Chr1	7491964	7492339	
At3g14400	Arabidopsis thaliana	Chr3	4811531	4815515	
At1g15130	Arabidopsis thaliana	Chr1	5206001	5209915	
At1g19490	Arabidopsis thaliana	Chr1	6751672	6753999	
At2g27120	Arabidopsis thaliana	Chr2	11581222	11594346	
At1g04580	Arabidopsis thaliana	Chr1	1252121	1257510	
At5g54380	Arabidopsis thaliana	Chr5	22077091	22079880	
At4g27490	Arabidopsis thaliana	Chr4	13739805	13741803	
At2g07190	Arabidopsis thaliana	Chr2	2987366	2988945	
At2g33770	Arabidopsis thaliana	Chr2	14277557	14283040	
At2g33775	Arabidopsis thaliana	Chr2	14288424	14289225	
At3g56240	Arabidopsis thaliana	Chr3	20863256	20864544	
At2g26450	Arabidopsis thaliana	Chr2	11251119	11253612	
At5g19410	Arabidopsis thaliana	Chr5	6545236	6547111	
At4g16530	Arabidopsis thaliana	Chr4	9311354	9315813	
At2g14870	Arabidopsis thaliana	Chr2	6391171	6391477	
At5g06390	Arabidopsis thaliana	Chr5	1952850	1955788	
At1g43020	Arabidopsis thaliana	Chr1	16155402	16157911	
At1g19720	Arabidopsis thaliana	Chr1	6819563	6822711	
At3g62970	Arabidopsis thaliana	Chr3	23270632	23272923	
At4g12090	Arabidopsis thaliana	Chr4	7242164	7242924	
At3g53140	Arabidopsis thaliana	Chr3	19695642	19697542	
At3g06310	Arabidopsis thaliana	Chr3	1912967	1914392	
At4g27720	Arabidopsis thaliana	Chr4	13831037	13833814	
At3g10960	Arabidopsis thaliana	Chr3	3424812	3426997	
At1g05180	Arabidopsis thaliana	Chr1	1498113	1501824	
At1g01400	Arabidopsis thaliana	Chr1	150688	152210	
At5g27670	Arabidopsis thaliana	Chr5	9792560	9793456	
At2g26980	Arabidopsis thaliana	Chr2	11514702	11518505	
At5g23310	Arabidopsis thaliana	Chr5	7850522	7852532	
At3g52890	Arabidopsis thaliana	Chr3	19608430	19612186	
At1g61040	Arabidopsis thaliana	Chr1	22483206	22485969	
At1g03800	Arabidopsis thaliana	Chr1	957260	957998	
At3g12520	Arabidopsis thaliana	Chr3	3967815	3971927	
At1g05230	Arabidopsis thaliana	Chr1	1512900	1517248	
At5g56280	Arabidopsis thaliana	Chr5	22783383	22785577	
At1g54650	Arabidopsis thaliana	Chr1	20405597	20407753	
At2g34200	Arabidopsis thaliana	Chr2	14440647	14442005	
At2g39630	Arabidopsis thaliana	Chr2	16521743	16524687	
At4g25386	Arabidopsis thaliana	Chr4	12977003	12977138	
At2g25180	Arabidopsis thaliana	Chr2	10724300	10726961	
At2g25185	Arabidopsis thaliana	Chr2	10731621	10732024	
At4g25380	Arabidopsis thaliana	Chr4	12975935	12976328	
At1g49700	Arabidopsis thaliana	Chr1	18388791	18390496	
At1g59550	Arabidopsis thaliana	Chr1	21879648	21880788	
At1g18450	Arabidopsis thaliana	Chr1	6348106	6351975	
At1g14770	Arabidopsis thaliana	Chr1	5086625	5088846	
At4g21890	Arabidopsis thaliana	Chr4	11611842	11612903	
At3g48590	Arabidopsis thaliana	Chr3	18008656	18009982	
At1g76350	Arabidopsis thaliana	Chr1	28639576	28643086	
At5g05360	Arabidopsis thaliana	Chr5	1588304	1589365	
At5g05365	Arabidopsis thaliana	Chr5	1590035	1590861	
At4g29980	Arabidopsis thaliana	Chr4	14664953	14665583	
At3g52230	Arabidopsis thaliana	Chr3	19371212	19372687	
At3g59220	Arabidopsis thaliana	Chr3	21894133	21895623	
At4g33970	Arabidopsis thaliana	Chr4	16279794	16281894	
At4g25650	Arabidopsis thaliana	Chr4	13080900	13083197	
At1g44080	Arabidopsis thaliana	Chr1	16753943	16755670	
At1g02170	Arabidopsis thaliana	Chr1	411778	413554	
At1g44085	Arabidopsis thaliana	Chr1	16758109	16758508	
At2g41020	Arabidopsis thaliana	Chr2	17117262	17121119	
At5g24320	Arabidopsis thaliana	Chr5	8284435	8288039	
At1g55300	Arabidopsis thaliana	Chr1	20628022	20629692	
At2g17060	Arabidopsis thaliana	Chr2	7422410	7426877	
At3g19710	Arabidopsis thaliana	Chr3	6846968	6849497	
At4g12320	Arabidopsis thaliana	Chr4	7314777	7316669	
At5g60350	Arabidopsis thaliana	Chr5	24277729	24279147	
At5g61000	Arabidopsis thaliana	Chr5	24549577	24552723	
At3g48040	Arabidopsis thaliana	Chr3	17731479	17733492	
At3g07440	Arabidopsis thaliana	Chr3	2381336	2383207	
At4g13050	Arabidopsis thaliana	Chr4	7617560	7619616	
At1g34320	Arabidopsis thaliana	Chr1	12520178	12524370	
At5g08130	Arabidopsis thaliana	Chr5	2606199	2610250	
At2g41790	Arabidopsis thaliana	Chr2	17429293	17436174	
At4g28580	Arabidopsis thaliana	Chr4	14123488	14125052	
At3g02540	Arabidopsis thaliana	Chr3	532807	536342	
At3g44690	Arabidopsis thaliana	Chr3	16230684	16234215	
At1g31660	Arabidopsis thaliana	Chr1	11330955	11333540	
At5g64180	Arabidopsis thaliana	Chr5	25677079	25678357	
At2g32910	Arabidopsis thaliana	Chr2	13959035	13962118	
